项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,梦想动态,是否制作视频,预计回报发送时间,发起人支持的项目数,发起人历史发起的项目次数,发起人所在地,项目结束时间,浏览次数,关注数,分享数
其他,62159,与著名投资人吴鸣霄先生共讨创业、投资晚宴,筹集结束,20000,4700,10,4,100.00,13,13,否,不确定,0,3,NOTFOUND,2014-09-16 00:00,54629,12,36
其他,62134,重拾弃爱——大学生募款帮助福利院孩子,筹集结束,3200,1320,24,3,20.00,15,26,否,项目结束后10天发送回报,0,1,NOTFOUND,2014-08-02 00:00,55825,25,42
其他,62146,广州大学生零元中国行,筹集成功,5000,5258.88,39,9,10.00,41,77,是,不确定,1,1,NOTFOUND,2014-08-22 00:00,252429,43,205
其他,61944,互联网金融数据中心,筹集成功,20000,20984,67,6,50.00,12,75,否,不确定,2,1,NOTFOUND,2014-08-06 00:00,187373,72,541
其他,61655,白浪河畔    户外瑜伽,筹集结束,3000,0,1,6,39.00,21,5,否,项目结束后3天发送回报,0,1,NOTFOUND,2014-07-02 00:00,17854,1,6
其他,61746,此心安处是吾乡-让我们来丽江开客栈吧,筹集结束,500000,2400,12,7,200.00,13,19,否,项目结束后30天发送回报,0,1,NOTFOUND,2014-08-11 00:00,231108,12,463
其他,61716,为陈龙参加产品经理系统培训课程而众筹,筹集成功,1100,1124,7,3,100.00,8,8,否,不确定,2,1,NOTFOUND,2014-06-19 00:00,35765,7,25
其他,61638,如是爱.Just love,筹集结束,50000,17,12,7,52.00,15,20,否,不确定,0,1,NOTFOUND,2014-07-19 00:00,84410,13,389
其他,61091,上海橙太极会馆,筹集结束,150000,0,0,6,0.00,25,2,是,项目结束后45天发送回报,0,1,上海市市辖区,2014-06-22 00:00,20263,1,13
其他,60678,你可能看不见的人和城市——他的一天，城市里的他和他,筹集结束,100000,69601,323,5,0.00,18,326,否,项目结束后100天发送回报,4,2,NOTFOUND,2014-05-15 00:00,136553,327,22
其他,60394,八零后主题餐厅,筹集结束,60000,0,0,7,0.00,22,3,否,项目结束后30天发送回报,0,1,NOTFOUND,2014-05-31 00:00,21688,NOTFOUND,8
其他,60289,幸福邮局,筹集结束,1000,39,1,4,0.00,13,5,否,不确定,0,1,NOTFOUND,2014-05-29 00:00,20402,1,6
其他,60294,众筹农场：一起养土鸡，收获土鸡蛋，找回儿时的味道,筹集结束,10000,0,0,3,0.00,28,3,否,项目结束后60天发送回报,0,1,NOTFOUND,2014-05-27 00:00,67608,NOTFOUND,108
其他,60249,梦想的开始，我们相距十二公里的爱,筹集结束,3000,183,6,8,0.00,16,8,否,项目结束后30天发送回报,0,1,NOTFOUND,2014-04-18 00:00,20544,7,5
其他,60186,私人定制公寓 第一季—— 体验原汁原味的青岛旅行,筹集结束,40000,0,0,9,0.00,21,7,否,项目结束后1天发送回报,0,1,NOTFOUND,2014-05-13 00:00,24484,NOTFOUND,4
其他,60102,汤山有机草莓，来自温泉故乡的珍品(坏果包赔）,筹集成功,2000,3066,20,3,0.00,22,30,否,项目结束后2天发送回报,0,1,NOTFOUND,2014-04-11 00:00,36298,21,3
其他,60095,创梦空间 —— 逃离北上广，不一样的创业梦,筹集成功,40000,42020,35,7,0.00,11,41,否,项目结束后0天发送回报,0,1,NOTFOUND,2014-04-20 00:00,155608,35,10
其他,60122,“为爱之旅， 低碳出发” 2014以爱之名行走全球，助力留守儿童筹款计划  ,筹集结束,20000,235,8,8,0.00,14,11,否,不确定,0,1,NOTFOUND,2014-07-01 00:00,24545,8,4
其他,60107,上不了中欧了，众筹买婚房,筹集成功,1000000,1009008,15,7,0.00,19,21,否,不确定,0,1,NOTFOUND,2014-06-04 00:00,201575,18,23
其他,60066,“你好，旧时光”咖啡馆项目,筹集结束,200000,0,0,3,0.00,9,3,否,不确定,0,1,NOTFOUND,2014-05-22 00:00,70824,NOTFOUND,7
其他,60048,公益反传销爱心募捐：预防传销，从你我做起,筹集成功,2000,2040,22,5,0.00,17,25,是,项目结束后30天发送回报,3,1,NOTFOUND,2014-03-19 00:00,35458,22,NOTFOUND
其他,60040,和陌生的你交换一个故事 ,筹集结束,1000,16,8,4,0.00,14,8,否,不确定,3,1,NOTFOUND,2014-05-24 00:00,22051,8,5
其他,59977,不浪费的艺术——鸡蛋雕刻,筹集结束,3000,400,6,6,0.00,10,8,否,项目结束后30天发送回报,0,1,NOTFOUND,2014-02-25 00:00,99799,8,NOTFOUND
