项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,梦想动态,是否制作视频,预计回报发送时间,发起人支持的项目数,发起人历史发起的项目次数,发起人所在地,项目结束时间,浏览次数,关注数,分享数
出版,60543,独树一帜，创新流派《魔王奶爸》圆出版梦,筹集结束,60000,29637,824,5,0.00,9,831,否,不确定,0,1,NOTFOUND,2014-09-30 00:00,374664,870,360
出版,60330,十年磨一剑，今朝露锋芒《高手寂寞》圆出版梦,筹集成功,60000,63902,1165,4,0.00,10,1197,是,不确定,3,1,NOTFOUND,2014-10-29 00:00,508684,1458,624
出版,59963,上学路上的朗朗读书声——用阅读，点亮贫困地区孩子们的人生,筹集结束,10000,15,4,7,0.00,14,4,是,不确定,1,6,四川省成都市,2014-06-29 00:00,39905,4,19
出版,17,忘语新作《魔天记》实体书 全网独家抢先预售,筹集成功,5000,20678,502,5,0.00,10,523,否,不确定,0,1,NOTFOUND,2014-04-08 00:00,219485,586,30
出版,59944,用心写的就是最好的，《我们读世界2》出版,筹集结束,10000,1000,10,4,0.00,11,10,否,项目结束后30天发送回报,0,1,NOTFOUND,2014-07-15 00:00,26360,11,8
出版,59943,画15张肖像插画，带50张画去我的蕃薯小岛办画展,筹集结束,3000,400,2,1,0.00,10,3,否,不确定,0,1,NOTFOUND,2014-05-05 00:00,21306,2,1
出版,59898,To liv(e)自出版，何处是我们的精神家园,筹集结束,4000,480,7,2,0.00,13,7,否,项目结束后20天发送回报,0,1,NOTFOUND,2014-04-23 00:00,154625,7,NOTFOUND
出版,59914,《80平方米舞者》——追梦故事、校园成长励志小说预售,筹集结束,30000,3150,36,5,0.00,10,40,否,项目结束后0天发送回报,0,1,NOTFOUND,2014-04-08 00:00,44126,36,NOTFOUND
出版,59788,诗意的世界——我的文集能出版 （诗词及翻译作品）,筹集成功,1000,1000,3,3,0.00,9,5,是,不确定,1,1,NOTFOUND,2013-12-27 00:00,49316,3,1
出版,59742,雪藏十年黄士诚三部曲《欲望同谋》、《四年缠绵》、《失踪的年华》出版,筹集结束,350000,0,0,3,0.00,10,1,否,项目结束后0天发送回报,0,1,NOTFOUND,2014-03-07 00:00,29697,NOTFOUND,NOTFOUND
出版,59713,预订国内第一本儿童诗杂志，集文学与亲子作品为一体。,筹集结束,5000,50,2,6,0.00,16,3,否,项目结束后60天发送回报,0,1,NOTFOUND,2014-01-09 00:00,23639,2,NOTFOUND
出版,59711,《寒门诗献》：我的文学梦,筹集结束,50000,630,4,6,0.00,24,5,否,不确定,0,1,NOTFOUND,2014-03-01 00:00,23515,4,NOTFOUND
出版,13,蝴蝶蓝作品《全职高手》纪念画册出版,筹集成功,200000,362204,5361,5,0.00,19,5493,否,不确定,0,1,NOTFOUND,2013-11-21 00:00,1006000,5454,37
