项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,梦想动态,是否制作视频,预计回报发送时间,发起人支持的项目数,发起人历史发起的项目次数,发起人所在地,项目结束时间,浏览次数,关注数,分享数
活动,66020,隔着雾霾，从地面向天空喊话——pm2.5天空地面对照,筹集结束,2000,279,9,3,19.00,19,9,否,项目结束后20天发送回报,0,1,上海市,2015-05-20 00:00,12392,13,3
活动,66030,【G.O.众筹创业课】 众筹如何“递进”你的创业梦想,筹集成功,50,110,36,3,50.00,20,36,否,项目结束后5天发送回报,7,4,上海市市辖区,2015-04-23 00:00,219354,72,165
活动,66124,交大高金第四届亚沙赛，众筹属于你的光荣,筹集成功,40000,40902,87,5,99.00,22,87,是,项目结束后30天发送回报,15,1,NOTFOUND,2015-05-10 00:00,36172,80,33
活动,65768,青春绿动·青年林——齐来打造“魅力奉贤”,筹集成功,10000,10719.5,88,2,10.00,16,89,否,不确定,0,1,上海市市辖区,2015-05-07 00:00,46391,78,33
活动,65999,检车无忧：爱车检测咨询专家,筹集结束,5000,0,0,4,99.00,9,0,是,不确定,0,1,NOTFOUND,2015-06-06 00:00,10647,NOTFOUND,4
活动,65964,北京科技大学EMBA2015年第十届全球华语商学院戈壁挑战赛,筹集结束,30000,8100,12,5,200.00,15,12,否,项目结束后60天发送回报,0,1,NOTFOUND,2015-05-31 00:00,17624,22,16
活动,65729,青工励志公益微电影《圳青春》筹资，你就是我们的出品人,筹集结束,120000,0,0,6,10.00,11,0,否,项目结束后15天发送回报,0,1,NOTFOUND,2015-05-30 00:00,11538,2,1
活动,65837,彩绘公益  为心灵上色,筹集结束,10020,0,0,6,8.00,16,0,是,项目结束后30天发送回报,0,1,湖南省湘潭市,2015-05-02 00:00,10768,3,2
活动,65714,国文社文化交流会陕西站，贾平凹、陈忠实等十数位名家陪你游古都,筹集结束,100000,0,0,5,100.00,12,0,是,项目结束后7天发送回报,0,1,安徽省合肥市,2015-05-17 00:00,11519,3,10
活动,65376,萌猫军团猫咪咖啡馆～让我们一起创造一个猫咪与人的游乐场,筹集结束,50000,300,3,5,100.00,15,3,否,不确定,0,1,江苏省无锡市,2015-05-01 00:00,14524,12,21
活动,65073,2015情人节玫瑰之约，花神街为你私人定制的美好约会,筹集结束,10000,0,0,4,199.00,20,0,否,不确定,0,1,北京市市辖区,2015-02-17 00:00,13495,NOTFOUND,6
活动,64515,中国传媒大学摄影协会，众筹制作本校明信片义卖,筹集结束,5000,20,1,7,5.00,25,1,否,项目结束后70天发送回报,0,1,北京市市辖区,2015-03-29 00:00,13860,1,3
活动,65138,全球食客，我们一起吃遍全球,筹集结束,5000,1436,9,7,169.00,45,9,否,项目结束后10天发送回报,0,1,浙江省杭州市,2015-02-08 00:00,21499,15,116
活动,65033,用行动拯救“迷失的家园”,筹集结束,100000,1,1,7,50.00,28,1,是,项目结束后5天发送回报,0,1,NOTFOUND,2015-02-09 00:00,13845,4,8
活动,65032,2015众筹普及训练营,筹集结束,1800,0,0,2,10.00,12,0,否,不确定,0,1,上海市市辖区,2015-01-18 00:00,13965,3,6
活动,64985,给每个学生一个逆袭的机会：任性背课文，五天变学霸!,筹集结束,29800,254,9,4,50.00,18,9,否,不确定,0,1,北京市市辖区,2015-01-27 00:00,17874,15,20
活动,64781,一公斤盒子君，当老师如此简单，1个盒子让孩子上3堂课,筹集结束,15000,10,1,4,10.00,14,2,否,不确定,0,1,NOTFOUND,2015-01-28 00:00,15374,6,6
活动,64579,随心手愈咖啡馆,筹集结束,200000,17000,15,4,500.00,14,30,是,不确定,0,1,广东省广州市,2015-02-15 00:00,28649,23,25
活动,64509,共建清风亭，首个由网友筹资修建的亭子,筹集结束,400000,100,1,19,100.00,29,1,是,项目结束后20天发送回报,0,1,NOTFOUND,2015-02-04 00:00,15612,2,11
活动,64420,人人都能玩游艇？感受海天盛宴，暨厦门游艇生活梦之旅程,筹集结束,14600,0,0,2,398.00,26,1,是,不确定,0,1,福建省厦门市,2014-12-24 00:00,17566,3,10
活动,64347,去香港，一个三秦学子也可以实现的梦想,筹集结束,3000,840,10,4,10.00,15,11,否,项目结束后20天发送回报,0,1,陕西省西安市,2014-12-22 00:00,18160,16,28
活动,64393,“未来金融家参访金融城” 青年交流平台,筹集成功,100,300,3,1,100.00,18,4,否,不确定,1,1,浙江省杭州市,2014-11-30 00:00,17027,9,7
活动,63085,众吧：以众为立，以吧为聚的一起生活,筹集结束,2000,17,1,5,17.00,25,1,否,不确定,0,1,云南省昆明市,2015-04-11 00:00,16442,7,28
活动,63999,广西女孩李颖的创业梦：手工缫丝，传承技艺，西丝美天然蚕丝被,筹集成功,4000,5044,12,12,10.00,19,28,否,项目结束后15天发送回报,0,1,NOTFOUND,2014-12-12 00:00,49606,26,63
活动,63697,300双手绘童鞋，暨大学子筹集运费，携手把爱走向山区留守儿童,筹集成功,2000,2730,27,5,10.00,34,35,是,不确定,2,1,NOTFOUND,2014-11-23 00:00,57319,36,72
活动,63995,NOTFOUND,筹集成功,11.11,4092.26,69,13,1.10,30,75,否,项目结束后30天发送回报,7,4,上海市市辖区,2014-11-12 00:00,157919,68,154
活动,63721,这里没有雾霾！众筹爱与梦，特奥阳光融合跑，现场观摩大招募,筹集结束,100,10,1,6,0.00,15,2,否,不确定,0,1,NOTFOUND,2014-11-21 00:00,17571,5,14
活动,63553,给孩子一份快乐的童年回忆：乐莹文化万圣星座亲子欢“剧”会！,筹集结束,3000,0,0,2,220.00,19,3,否,不确定,1,1,NOTFOUND,2014-10-23 00:00,80145,13,36
活动,63270,远离都市，隐居山水：黄山龙湾湖畔创意园,筹集结束,250000,0,0,5,200.00,15,0,否,不确定,0,1,NOTFOUND,2014-11-27 00:00,18908,8,14
活动,63361,日本设计探访之旅，Neast带你去东京设计周,筹集结束,2000,145,5,3,5.00,21,7,是,项目结束后15天发送回报,0,1,NOTFOUND,2014-10-21 00:00,24946,5,9
