项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,梦想动态,是否制作视频,预计回报发送时间,发起人支持的项目数,发起人历史发起的项目次数,发起人所在地,项目结束时间,浏览次数,关注数,分享数
周边,60313,《萌娘三国演义》绘卡集,筹集结束,30000,5422.33,278,3,0.00,11,283,否,不确定,0,1,NOTFOUND,2014-12-28 00:00,154556,821,316
周边,62658,《我的女友是丧尸》女友抱枕，等你来援！,筹集成功,36000,45267,750,8,0.00,13,765,否,不确定,1,1,NOTFOUND,2014-10-01 00:00,307947,1562,746
周边,60315,灵能武器，独家番外，欢迎来到《惊悚乐园》,筹集成功,30000,107229.7,1908,3,60.00,10,1990,否,不确定,0,1,NOTFOUND,2014-08-06 00:00,529826,2578,1899
周边,60918,《奥术神座》限量珍藏魔法笔记，再现奥术的奇妙世界,筹集成功,50000,60871.27,956,4,0.00,10,983,否,不确定,0,1,NOTFOUND,2014-07-06 00:00,465712,1122,453
