项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,梦想动态,是否制作视频,预计回报发送时间,发起人支持的项目数,发起人历史发起的项目次数,发起人所在地,项目结束时间,浏览次数,关注数,分享数
设计,63360,从手绘到实物：私人定制，阳光抱枕,筹集结束,20000,0,0,12,55.00,44,2,否,不确定,0,1,NOTFOUND,2014-12-19 00:00,31970,7,27
设计,63255,印章 一种雕刻和书法融合的艺术,筹集结束,6000,594,12,20,40.00,38,17,否,项目结束后30天发送回报,0,1,NOTFOUND,2014-11-02 00:00,69381,34,56
设计,63137,纯手工牛皮手工大包-折腾工作室,筹集结束,6000,751,6,6,35.00,34,12,否,项目结束后10天发送回报,1,1,NOTFOUND,2014-11-10 00:00,87188,27,77
设计,63023,爱摄影的女子——勤子小姐de台北慢游,筹集成功,5000,5088,66,3,36.00,15,67,否,项目结束后15天发送回报,0,2,上海市市辖区,2014-10-27 00:00,149708,71,206
设计,62172,木头人——珍藏老料，以沉香为主的创新设计,筹集成功,5000,5152,8,15,48.00,46,9,否,项目结束后20天发送回报,1,10,四川省成都市,2014-09-25 00:00,145416,39,208
设计,62716,facula移动电源-将设计融入生活,筹集结束,80000,1648.69,133,5,49.00,21,138,否,不确定,0,1,NOTFOUND,2014-09-07 00:00,276512,143,285
设计,62702,支持中国独立设计师的原创设计！百乐门手绘手机壳,筹集结束,2000,75,3,3,25.00,19,3,否,项目结束后15天发送回报,0,1,NOTFOUND,2014-09-05 00:00,128820,4,92
设计,62602,手工泥绘，大亨德钟壶——舌尖上的茶味，夏季泡绿茶的经典利器！,筹集结束,3000,1604,10,5,96.00,45,14,是,项目结束后7天发送回报,0,1,NOTFOUND,2014-09-13 00:00,64638,14,53
设计,62559,相约紫檀——80后小店的古典梦想,筹集成功,5000,7476,22,5,8.00,24,27,否,项目结束后10天发送回报,1,1,NOTFOUND,2014-08-30 00:00,102033,23,144
设计,62395,承古之文韵，创今之实品,筹集结束,6888,50,1,5,50.00,21,4,否,项目结束后10天发送回报,0,1,NOTFOUND,2014-09-12 00:00,55481,3,74
设计,62465,“上下天光 一碧万倾”,筹集结束,2000,0,0,7,35.00,25,3,否,项目结束后15天发送回报,0,1,NOTFOUND,2014-08-22 00:00,22102,NOTFOUND,14
设计,62423,李菜刀—不止是非遗，更是中国厨房的好刀！,筹集成功,10000,12451,68,6,79.00,38,83,否,项目结束后20天发送回报,0,2,NOTFOUND,2014-09-04 00:00,258259,71,237
设计,62256,个人印象吧，留住这一时刻美好的自己,筹集结束,10000,162,6,5,16.00,17,12,否,项目结束后15天发送回报,0,1,NOTFOUND,2014-09-12 00:00,274982,9,305
设计,62182,小职了“涨薪宝”——用了就涨薪的大数据求职神器！,筹集结束,15000,5,5,4,100.00,21,8,是,不确定,0,1,NOTFOUND,2014-09-05 00:00,78155,6,50
设计,62162,木头人，以木为梦，手工制作，技艺传承,筹集成功,5000,25473,87,10,5.00,40,101,否,项目结束后15天发送回报,1,10,四川省成都市,2014-08-01 00:00,243439,92,484
设计,61770,The blade 实木手工键盘手托,筹集结束,6000,294,3,4,98.00,29,5,是,项目结束后25天发送回报,1,1,NOTFOUND,2014-08-08 00:00,37671,4,24
