项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,公告数,评论数,是否制作视频,预计回报发送时间,粉丝数,发起人支持的项目数,发起人历史发起的项目次数,支持次数,最低投资支持人数,发起人所在地,项目结束时间
家居生活,351777,九万里智能锁 智能生活，自由掌控。,筹资成功,10000,92359,38,7,1999.00,52,59,12,否,预计筹资结束后3天内,5,0,1,41,3,湖北武汉,已经结束
家居生活,336757,猫管家，有摄像头的一体化防盗报警器！,筹资成功,10000,92084,236,7,249.00,32,60,3,否,预计筹资结束后15天内,1,0,1,238,100,广东广州,已经结束
家居生活,341402,Raiing 智能女性基础体温贴,筹资成功,10000,87962,267,7,199.00,21,37,0,否,预计筹资结束后30天内,2,0,1,278,10,北京昌平区,已经结束
家居生活,340576,Ilovewater感应式提醒喝水杯贴,筹资成功,50000,78517,637,11,30.00,11,53,1,否,预计筹资结束后30天内,4,0,1,683,100,北京海淀区,已经结束
家居生活,318220,Wi-Fi智能遥控(正在筹资中）,筹资成功,10000,76782,315,9,10.00,10,179,1,是,预计筹资结束后1天内,27,1,3,343,41,浙江杭州,已经结束
家居生活,348669,智能家居 “蛋”当重任-智集蛋,筹资成功,10000,74559,185,0,0.00,19,38,2,否,NOTFOUND,1,0,1,196,NOTFOUND,NOTFOUND,已经结束
家居生活,340977,WiLink智能排插——轻智能家居控制中心,筹资成功,10000,72208,235,21,39.00,18,45,0,否,预计筹资结束后45天内,4,2,1,514,25,广东深圳,已经结束
家居生活,359627,NewBee 智能WIFI插座,筹资成功,30000,72782,318,22,9.00,70,20,76,否,预计筹资结束后60天内,385,0,1,455,92,辽宁大连,已经结束
家居生活,351957,微插座,筹资成功,10000,71451,213,4,239.00,54,18,114,否,预计筹资结束后1天内,512,0,1,249,50,北京朝阳区,已经结束
家居生活,344763,ISE.智能家居组合———家庭智能第一步，最小单元智能家居,筹资成功,20000,69634,229,9,48.00,17,33,1,是,预计筹资结束后60天内,80,0,2,288,11,广东深圳,已经结束
家居生活,343766,全球第一款智能塑身跳绳———想甩几斤甩几斤,筹资成功,20000,64308,369,6,99.00,17,30,3,否,预计筹资结束后30天内,3,0,1,392,50,广东深圳,已经结束
家居生活,348743,易家智能（Revogi） 音乐魔灯,筹资成功,10000,62978,157,6,179.00,15,90,2,否,预计筹资结束后30天内,8,0,2,163,19,广东深圳,已经结束
家居生活,330563,遥控宝3代-一款简单好用的智能家居中控,筹资成功,5000,61424,149,18,10.00,25,48,1,是,预计筹资结束后15天内,10,1,5,178,40,广东广州,已经结束
家居生活,341737,BIGCARE物联网人体成分测量仪,筹资成功,30000,58660,124,5,198.00,17,27,0,否,预计筹资结束后30天内,0,0,1,135,20,广东深圳,已经结束
家居生活,340403,Table Air智能桌面空气净化器,筹资成功,10000,58219,115,5,299.00,10,28,0,否,预计筹资结束后45天内,2,0,1,122,20,北京朝阳区,已经结束
家居生活,323615,iMagic — 触控多彩生活,筹资成功,20000,56704,215,8,50.00,47,86,8,是,预计筹资结束后30天内,2,1,1,232,16,广东深圳,已经结束
家居生活,343294,inPlug硬糖WiFi智能插座---不仅仅是全球最小,筹资成功,30000,55420,230,10,39.00,26,23,2,否,预计筹资结束后100天内,1,0,1,310,10,北京朝阳区,已经结束
