项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,公告数,评论数,是否制作视频,预计回报发送时间,粉丝数,发起人支持的项目数,发起人历史发起的项目次数,支持次数,最低投资支持人数,发起人所在地,项目结束时间
文化艺术,367108,《北京文创人物说》书籍出版众筹——致敬那些坚韧的追梦人,筹资成功,20000,24148,51,4,49.00,44,5,8,否,预计筹资结束后15天内,71,1,0,152,146,NOTFOUND,已经结束
文化艺术,366946,【致匠心】最后的古法制瓷工艺——胡闹巷记事,筹资失败,20000,6044,23,3,38.00,60,5,20,是,预计筹资结束后30天内,40,1,1,28,10,江西景德镇,已经结束
