项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,项目更新数,评论数,是否制作视频,无私支持数,最低投资支持人数,预计回报发送时间,发起人所在地,项目结束时间
出版,357847,《情感定制.意义经济》——个性化时代消费品的突破口,已成功,39000,39239,167,5,2.00,6,9,38,否,5,95,项目成功结束后10天内,广东 东莞,已经结束
出版,459673,一朝兴，一朝败，旧时王朝更迭背后的经济危机,已成功,5000,13168,167,4,5.00,14,6,40,否,19,67,项目成功结束后3天内,北京,已经结束
出版,282607,让影像留存：沂蒙山区即将消失的老手艺  民俗民风图册众筹,已成功,20000,20042,167,3,20.00,13,10,39,是,17,138,项目成功结束后30天内,山东 临沂,已经结束
出版,396454,上海书画出版社《明刊墨谱双璧》国家珍稀版本，原色影印，古法线装，限量典藏,已成功,10000,41772,166,3,1.00,11,7,29,否,2,48,项目成功结束后立即发货,上海,已经结束
出版,313822,《带着我去化妆品柜台》：揭秘美容陷阱，我们只谈成分,已成功,30000,30204,165,5,3.00,1,8,49,是,2,99,项目成功结束后30天内,北京,已经结束
出版,7648,《<老子>与<周易>全新对译》带你读懂经典,已成功,22800,23810,164,5,5.00,3,3,72,否,0,48,项目成功结束后30天内,江西 南昌,已经结束
出版,390244,“名家原创，限量首发“——“爱上海”邮政主题明信片（典藏版）,已成功,20000,28889,163,1,20.00,40,14,3,否,13,139,项目成功结束后20天内,上海,已经结束
出版,53548,《定位屋》发展定位从观念到体系 让定位成为人人都读得懂的学问,已成功,8000,13377,160,4,39.00,8,3,75,否,1,148,项目成功结束后10天内,湖北 武汉,已经结束
出版,94528,非专业家庭英语启蒙推广项目,已成功,50000,56363,158,3,49.00,5,3,6,否,2,86,项目成功结束后30天内,浙江 杭州,已经结束
出版,615679,11年5度行走古巴，碰撞神秘的哈瓦那,已成功,80000,88804,158,1,198.00,8,1,17,是,21,131,项目成功结束后立即发货,NOTFOUND,已经结束
出版,109417,《玩转微时代》出版众筹,已成功,30000,32407,157,4,50.00,3,3,15,否,6,124,项目成功结束后30天内,上海,已经结束
出版,158968,《财与你相遇》：读情感小说赚钱，让理财文艺起来。,已成功,10000,14881,156,6,2.00,11,4,25,是,2,28,项目成功结束后3天内,北京,已经结束
