项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,项目更新数,评论数,是否制作视频,无私支持数,最低投资支持人数,预计回报发送时间,发起人所在地,项目结束时间
农业,254323,以爱之名——来自深山的甜蜜,已成功,10000,10115,518,5,1.00,30,10,26,否,10,14,项目成功结束后立即发货,甘肃 天水,已经结束
农业,581998,你是啥样的大米？一亩才产300斤,已成功,50000,51125,510,3,35.00,18,17,43,否,32,229,项目成功结束后10天内,安徽 芜湖,已经结束
农业,246850,万人众筹，帮助农户农产品走出大山和退伍军人圆创业梦！,已成功,10000,10200,497,3,9.00,9,11,30,否,3,50,项目成功结束后5天内,甘肃 陇南,已经结束
农业,321631,15元众筹一座古法作坊，为你熬制6种暖心红糖,已成功,20000,28311,496,5,1.00,13,15,150,否,32,200,项目成功结束后立即发货,广西 贵港,已经结束
农业,344125,为了舌尖上的安全！10元众筹鲜嫩玉米！,已成功,20000,20313,494,5,10.00,24,12,101,否,34,99,项目成功结束后7天内,安徽 宿州,已经结束
农业,471625,杂粮出身，掀起主食革命！,已成功,80000,82530,491,6,1.00,27,1,22,否,8,28,项目成功结束后立即发货,山东 泰安,已经结束
农业,287446,为酒成魔：惟饮者，1000万只为一款酒,已成功,200000,207340,484,6,1.00,20,10,67,否,5,319,项目成功结束后30天内,北京,已经结束
农业,317926,世界再大，也要回家。带上小鲜肉原酿鲜酒，和儿时的玩伴见见面吧,已成功,100000,120731.10,484,4,66.00,9,10,109,否,8,409,项目成功结束后立即发货,浙江 杭州,已经结束
农业,237211,【祁雅】祁门红茶，十大茗茶之一，来自安徽祁县原产地的味道！,已成功,10000,14451,482,4,1.00,18,8,44,否,1,239,项目成功结束后7天内,安徽 黄山,已经结束
农业,320863,自然之珍，水果之王——枇杷众筹第二季,已成功,1000,1107,469,3,1.00,7,8,11,否,0,5,项目成功结束后10天内,云南 红河,已经结束
农业,184270,水晶葫芦酒：一款市面上买不到的好酒,已成功,99000,216418,439,6,69.00,4,5,142,否,14,106,项目成功结束后立即发货,山东 济南,已经结束
农业,122782,“巨刚众酒”第贰季：中国最好的手工酿制陈年绍兴黄酒,已成功,99000,343154,435,3,99.00,13,3,37,否,10,212,项目成功结束后立即发货,北京,已经结束
