项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,项目更新数,评论数,是否制作视频,无私支持数,最低投资支持人数,预计回报发送时间,发起人所在地,项目结束时间
公益,141364,众筹天使公益厨房 给孩子们一顿营养午餐,已成功,6458,7012,385,4,2.00,7,5,71,是,44,156,项目成功结束后30天内,贵州 毕节,已经结束
公益,345628,愿等待不再无奈！—自闭症公益微电影《我在这里等你》,已成功,40000,40908,375,6,10.00,11,13,101,是,139,153,项目成功结束后立即发货,辽宁 大连,已经结束
公益,19974,温暖礼包 温暖抗战老兵,已成功,45000,52623,374,6,1.00,7,3,29,否,0,123,项目成功结束后45天内,广西 南宁,已经结束
公益,434329,用爱与陪伴为生命服务,已成功,10000,13729,368,1,1.00,6,4,36,是,147,196,项目成功结束后999天内,湖南 长沙,已经结束
公益,114595,从“一平米”开始——助力贵州孩子们的课桌椅,已成功,15000,15816,367,2,5.00,8,8,20,否,74,67,项目成功结束后立即发货,贵州 黔东南,已经结束
公益,583294,让高寒山区的少数民族同胞在寒冷冬夜也能吃上新鲜的果蔬,已成功,20000,20732,367,3,1.00,8,1,72,否,192,120,项目成功结束后立即发货,云南 昭通,已经结束
公益,389551,邻里守望一路同行,已成功,5000,5406,364,0,10.00,5,9,4,否,32,332,项目成功结束后立即发货,江苏 苏州,已经结束
公益,440551,秀山县农村留守（困境）儿童成长支持计划,已成功,30000,34892,364,7,5.00,9,9,32,否,208,44,项目成功结束后立即发货,重庆,已经结束
公益,484852,保护地球母亲，换来对后代的眷顾 出门四件宝，环保新选择,已成功,25000,25467,363,6,1.00,21,8,28,否,97,28,项目成功结束后立即发货,广东 广州,已经结束
公益,453571,癌症病人院外康复指导,已成功,40000,41160,361,3,20.00,5,3,24,是,113,72,项目成功结束后立即发货,广东 深圳,已经结束
公益,491467,大山里的百合一家人,已成功,50000,52251,359,3,5.00,8,2,31,否,69,180,项目成功结束后立即发货,湖南 湘西,已经结束
公益,384664,卖山货，筹礼物；山里娃，咱不哭！,已成功,17061,18429,357,12,2.00,6,26,35,否,25,18,项目成功结束后立即发货,江苏 苏州,已经结束
公益,412438,万蚕待哺，奉献一片桑叶，拯救千年桑园,已成功,300000,304526,356,4,5.00,3,7,12,否,184,27,项目成功结束后30天内,湖北 宜昌,已经结束
公益,21071,驻绿科尔沁：一角钱换一平方米草原计划,已成功,100000,109065.01,354,10,2.00,22,3,77,是,21,120,项目成功结束后10天内,吉林 白城,已经结束
公益,168739,“益心益意”为云南山区的孩子修一条路，圆一个梦  ,已成功,20000,20029,354,3,10.00,6,9,64,否,140,138,项目成功结束后立即发货,云南 曲靖,已经结束
公益,66010,昔木小学浴室计划 给孩子一个清爽的夏天,已成功,30000,43352,353,5,10.00,12,7,14,否,18,100,项目成功结束后立即发货,云南 临沧,已经结束
