项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,项目更新数,评论数,是否制作视频,无私支持数,最低投资支持人数,预计回报发送时间,发起人所在地,项目结束时间
艺术,486532,随心手愈DIY手工作业治疗包——患者也能感受美丽、传递美丽,已成功,2000,2548,48,1,55.00,4,4,2,否,38,4,项目成功结束后60天内,广东 广州,已经结束
艺术,82891,千年奇缘——藏区风情绘画本,已成功,3999,5488,48,2,49.00,8,4,1,否,6,9,项目成功结束后立即发货,浙江 杭州,已经结束
艺术,324502,《也许时光不会老》同济大学毕业作品项目众筹,已成功,20000,20192,48,9,9.00,8,5,37,是,0,17,项目成功结束后90天内,上海,已经结束
艺术,22344,木本自然结缘为珠——只为博君一“笑”,已成功,4000,32776,47,5,218.00,22,3,31,否,0,6,项目成功结束后7天内,福建 莆田,已经结束
艺术,17183,【静心工坊】静心手串 禅意生活,已成功,5000,12470,47,6,28.00,35,3,17,否,0,13,项目成功结束后10天内,上海,已经结束
艺术,65473,来自花园城市新加坡的一张明信片,已成功,500,530,47,4,6.00,1,4,42,否,1,44,项目成功结束后7天内,天津,已经结束
艺术,12558,请让我为你们拍一张全家福照片 ,已成功,29800,30604,47,7,50.00,20,3,40,否,0,24,项目成功结束后30天内,云南 迪庆,已经结束
艺术,20435,玩手串识木材之火眼金睛辨木材,已成功,3000,13750,47,3,150.00,15,3,30,否,0,23,项目成功结束后10天内,上海,已经结束
艺术,344542,原创摄影作品明信片-那些年我拍过的风景,已成功,500,677,47,4,1.00,8,9,17,否,2,20,项目成功结束后30天内,广东 广州,已经结束
艺术,4530,“生命每一秒--出售我的100小时”艺术众筹计划,已成功,100000,200000,47,3,0.00,32,3,9,否,0,27,项目成功结束后15天内,北京,已经结束
艺术,18937,【水晶石缘】  天地精华 水之精灵 衬伊人如水妩媚,已成功,5000,12706,47,6,118.00,15,3,6,否,0,8,项目成功结束后10天内,上海,已经结束
艺术,191923,【幽若玉坊第三期】只为“感恩”,已成功,1000,2460,45,3,3.00,9,5,33,否,0,32,项目成功结束后15天内,新疆 乌鲁木齐,已经结束
艺术,448015,一念遇见，一瞬千年，我想与你共度余生,已成功,19000,22416,45,2,777.00,1,0,5,是,27,6,项目成功结束后10天内,江苏 无锡,已经结束
艺术,62641,史上最壕礼——99.9黄金红包,已成功,8000,9396,44,7,1.00,1,3,31,否,0,24,项目成功结束后10天内,广东 深圳,已经结束
艺术,312106,【爱心】用音乐为孩子们最牵挂的人尽一份绵力,已成功,6000,13714,44,7,19.00,8,7,28,否,6,7,项目成功结束后30天内,北京,已经结束
艺术,440575,秘修堂小叶紫檀——造就传世经典,已成功,2000,2233,44,4,1.00,11,7,10,否,4,33,项目成功结束后15天内,北京,已经结束
艺术,132514,传承古奢文化：一个80后奢侈品鉴定师的梦想,已成功,15000,15601,44,6,100.00,14,11,41,否,17,8,项目成功结束后30天内,上海,已经结束
艺术,33049,【素锦石第四期】与你相遇 从此形影不相离,已成功,3000,8455,44,6,78.00,28,4,33,否,0,12,项目成功结束后5天内,福建 福州,已经结束
艺术,15555,三缠两绕的红绳 编结而成的祝福—中国结 我们的手工梦,已成功,2000,2442,44,6,10.00,7,3,24,否,0,15,项目成功结束后15天内,北京,已经结束
艺术,190732,《蓝层阁珠宝第一辑》携手玉雕工艺美术大师“王晓义” 带您读玉,已成功,10000,10484,44,8,2.00,10,7,16,否,0,6,项目成功结束后15天内,河南 南阳,已经结束
艺术,11310,【觉 JOB】结缘有缘人开启禅意人生,已成功,1000,3004,43,5,28.00,9,3,94,否,0,13,项目成功结束后10天内,上海,已经结束
艺术,35386,【物华天宝】戈壁滩上的第二波精灵,已成功,6000,6564,43,5,48.00,10,3,27,否,0,18,项目成功结束后5天内,北京,已经结束
艺术,24703,玉雕传承——让我亲手为你雕一件翡翠,已成功,3000,12028,43,4,88.00,16,3,100,否,2,15,项目成功结束后7天内,广东 肇庆,已经结束
