项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,项目更新数,评论数,是否制作视频,无私支持数,最低投资支持人数,预计回报发送时间,发起人所在地,项目结束时间
其他,70450,联合派递——专注最后一公里,已成功,300000,711106,441,4,30.00,3,61,580,否,30,100,项目成功结束后立即发货,江苏 苏州,已经结束
其他,183343,福佑车——针对老龄群体的智能代步车,已成功,6000,6014,440,5,1.00,11,4,16,否,5,303,项目成功结束后立即发货,上海,已经结束
其他,701,众筹制造：inWatch Z 智能腕表,已成功,1000000,1121334,439,6,99.00,3,3,532,否,0,30,项目成功结束后立即发货,北京,已经结束
其他,59146,呼爽隐形鼻罩-藏在您鼻子里的防霾精灵,已成功,20000,25728.50,432,5,1.00,7,3,226,否,2,109,项目成功结束后立即发货,上海,已经结束
其他,178567,风靡全球的虚拟现实眼镜——VRBOX带您体验沉侵游戏打造私人3D影院,已成功,10000,20654,426,4,1.00,5,14,286,是,8,183,项目成功结束后3天内,广东 深圳,已经结束
其他,17714,2014武汉众筹狂欢马拉松11月15日即将举行,已成功,200000,206366,423,21,1.00,20,3,166,是,0,160,项目成功结束后5天内,湖北 武汉,已经结束
其他,2025,筹建拉萨沙发客空间——免费接待旅行者,已成功,50000,69200,414,7,50.00,3,3,74,否,0,26,项目成功结束后30天内,上海,已经结束
其他,243172,魔法乐园 —让魔法精灵来到孩子的真实世界,已成功,50000,51369,409,5,28.00,22,8,8,是,4,100,项目成功结束后10天内,广东 广州,已经结束
其他,122800,芬陀华品牌降魔杵手表,已成功,80000,87945,408,5,1.00,15,17,169,否,5,272,项目成功结束后30天内,广东 深圳,已经结束
其他,17347,MyKey云存储安全锁——让你轻松享用安全云空间,已成功,300000,300849,407,8,49.00,1,3,137,否,0,20,项目成功结束后30天内,广东 深圳,已经结束
其他,160369,37°手环增强版——可测量血压、情绪、疲劳、心率、计步、睡眠的健康手环,已成功,100000,441644,406,8,169.00,12,8,636,否,6,377,项目成功结束后10天内,北京,已经结束
其他,35770,朴施厚领衔主演《香气》周边产品,已成功,150000,154728,406,4,118.00,1,3,40,是,1,124,项目成功结束后15天内,北京,已经结束
其他,171712,世界那么大，没电怎么办？保护手机电池的充电器来袭！,已成功,50000,71510,405,7,1.00,53,8,111,是,4,182,项目成功结束后3天内,广东 深圳,已经结束
其他,10807,什么什么大冒险 最搞的网络游戏,已成功,100000,201290,403,7,10.00,9,3,17,是,0,59,项目成功结束后1天内,福建 厦门,已经结束
其他,423667,位来智驾 - 微信智慧驾驶,已成功,20000,20004,403,4,1.00,31,5,29,否,18,31,项目成功结束后30天内,湖南 长沙,已经结束
其他,81055,360扭曲，耐摔，抗拉！首款手机供电的台灯/数据线,已成功,20000,28107,397,6,1.00,45,4,319,否,5,100,项目成功结束后15天内,广东 深圳,已经结束
其他,12466,【大卫咖啡】国内首家电商咖啡馆,已成功,300000,310711,384,7,20.00,20,3,370,是,0,116,项目成功结束后30天内,北京,已经结束
其他,252751,德国SOYES H1超薄金属智能触控袖珍迷你卡片手机--备用机皇,已成功,500,17941,382,6,1.00,23,42,115,是,1,327,项目成功结束后立即发货,江苏 徐州,已经结束
其他,7078,uPlane——能在客厅翱翔的手机遥控飞机,已成功,30000,118833,380,5,121.00,10,3,996,是,0,50,项目成功结束后30天内,广东 深圳,已经结束
其他,260182,爱克E-Light Power智能充电宝灯 充电娱乐多用,已成功,20000,21848,378,5,1.00,18,9,53,否,4,67,项目成功结束后20天内,广东 深圳,已经结束
其他,617287,一不小心颠覆想象，魔法代步神器，每天给你不平凡的旅程,已成功,100000,102385,373,3,10.00,44,2,8,是,61,31,项目成功结束后90天内,广东 深圳,已经结束
其他,275158,2016贺岁版莲花女表 限量2016只,已成功,50000,54386,367,4,1.00,59,19,63,否,24,268,项目成功结束后立即发货,广东 深圳,已经结束
其他,365956,3.8女神节，我要为秦君女神众筹365朵玫瑰花,已成功,3650,3841,367,0,10.00,1,8,14,否,12,355,项目成功结束后立即发货,北京,已经结束
其他,121615,NICVV设计师定制款环保时尚T恤,已成功,10000,25601,363,2,39.00,8,3,224,否,5,121,项目成功结束后立即发货,福建 泉州,已经结束
其他,311248,让磁吸数据线平民化，磁吸的科技普通的价格，让更多人享受磁吸科技的便利！,已成功,3000,11351,350,5,1.00,16,13,322,是,3,100,项目成功结束后3天内,广东 深圳,已经结束
