项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,项目更新数,评论数,是否制作视频,无私支持数,最低投资支持人数,预计回报发送时间,发起人所在地,项目结束时间
娱乐,3463,【众筹网-声演坊】Pajaro Sunrise 2014年中国巡演·长沙站,已成功,1000,1014,8,5,40.00,6,3,2,是,0,0,项目成功结束后15天内,湖南 长沙,已经结束
娱乐,5104,【口袋唱片】不可撤销乐队首发EP《致敬梦想》,已成功,1000,1000,8,5,1.00,6,6,2,否,0,0,项目成功结束后2天内,北京,已经结束
娱乐,18606,德乐相声社三周年庆典：胡陈星 张虎专场演出,已成功,1000,1238,8,3,80.00,4,3,5,否,0,4,项目成功结束后2天内,河南 郑州,已经结束
娱乐,19876,【影像季】《戒断期》戒烟面临的困难与身体承受的痛苦：最佳类型季,已成功,3000,3000,8,4,100.00,3,3,2,是,0,2,项目成功结束后6天内,北京,已经结束
娱乐,5315,【众筹网-声演坊】We Shot The Moon 2014年中国巡演·成都站,已成功,1000,1000,8,3,50.00,7,6,1,是,0,4,项目成功结束后5天内,四川 成都,已经结束
娱乐,5319,【众筹网-声演坊】We Shot The Moon 2014年中国巡演·深圳站,已成功,1000,1000,8,3,50.00,7,6,2,是,0,4,项目成功结束后5天内,广东 深圳,已经结束
娱乐,8619,【众筹网-声演坊】Lonely Drifter Karen2014中国巡演·长沙站,已成功,1000,1002,8,3,50.00,6,3,1,是,0,3,项目成功结束后5天内,湖南 长沙,已经结束
娱乐,14211,【欧洲万像】《门神》奥斯卡学生最佳叙事片,已成功,1000,7120,8,8,10.00,11,3,6,是,0,2,项目成功结束后30天内,北京,已经结束
娱乐,42040,【12.12】HITFM 《匆匆那年》电影主题音乐派对,已成功,700,820.20,8,1,88.70,2,3,2,否,0,7,项目成功结束后1天内,北京,已经结束
娱乐,6292,《我的播音系女友》点映众筹抢先看-重庆站,已成功,20000,21335,8,7,45.00,7,3,1,是,0,1,项目成功结束后7天内,重庆,已经结束
娱乐,13243,【众筹网-声演坊】Cara Dillon 2014年中国巡演·武汉站,已成功,1000,1200,8,3,120.00,8,3,1,是,0,6,项目成功结束后5天内,湖北 武汉,已经结束
娱乐,5317,【众筹网-声演坊】We Shot The Moon 2014年中国巡演·长沙站,已成功,1000,1000,7,3,50.00,7,6,0,是,0,2,项目成功结束后5天内,湖南 长沙,已经结束
娱乐,11589,【众筹网-声演坊】Lotte Kestner 2014年中国巡演·武汉站,已成功,1000,1000,7,4,50.00,6,6,0,是,0,4,项目成功结束后5天内,湖北 武汉,已经结束
娱乐,13244,【众筹网-声演坊】Cara Dillon 2014年中国巡演·广州站,已成功,1000,1080,7,3,120.00,8,3,0,是,0,5,项目成功结束后5天内,广东 广州,已经结束
娱乐,15080,北京·爱乐汇·《天涯共此时》经典名曲中秋音乐会,已成功,3000,3290,7,6,90.00,4,3,1,否,0,1,项目成功结束后1天内,北京,已经结束
娱乐,15294,上海·爱乐汇·俄罗斯国家芭蕾舞团《睡美人》,已成功,5000,5005,7,4,266.00,6,3,1,否,0,0,项目成功结束后1天内,上海,已经结束
娱乐,17259,【众筹网-声演坊】不可撤销2014《她 千鸟》首发巡演 哈尔滨站,已成功,1000,1000,7,3,40.00,6,6,2,否,0,5,项目成功结束后5天内,黑龙江 哈尔滨,已经结束
娱乐,17454,【众筹网-声演坊】Meiko2014中国巡演 上海站,已成功,1000,1040,7,3,80.00,6,3,1,是,0,3,项目成功结束后5天内,上海,已经结束
娱乐,289081,死记硬背真的很难受，所以我要帮孩子！在娱乐中学经典，懂得感恩学会爱。,已成功,2000,2012,7,3,57.00,5,7,17,是,1,1,项目成功结束后20天内,广东 东莞,已经结束
娱乐,15210,北京·爱乐汇·石进《夜的钢琴曲》音乐会,已成功,3000,3384,7,4,162.00,2,3,3,是,0,2,项目成功结束后1天内,北京,已经结束
娱乐,15249,上海·爱乐汇·久石让VS约翰•威廉姆斯经典动漫影视作品交响音乐会,已成功,3000,3382,7,3,172.00,2,3,2,否,0,0,项目成功结束后1天内,上海,已经结束
娱乐,15300,上海·爱乐汇·俄罗斯国家芭蕾舞团芭蕾舞剧《堂吉诃德》,已成功,5000,5007,7,4,266.00,2,3,1,否,0,0,项目成功结束后1天内,上海,已经结束
娱乐,17050,【众筹网-声演坊】不可撤销2014《她 千鸟》首发巡演 上海站,已成功,1000,1000,7,3,40.00,6,6,0,否,0,5,项目成功结束后5天内,上海,已经结束
娱乐,17059,【众筹网-声演坊】不可撤销2014《她 千鸟》首发巡演 郑州站,已成功,1000,1000,7,3,40.00,6,6,1,否,0,5,项目成功结束后5天内,河南 郑州,已经结束
娱乐,98515,预售香港爵士教父邰上黄2015收藏级8张唱片赠9月北京演唱会门票,已成功,500,553,7,3,79.00,9,4,8,是,0,7,项目成功结束后65天内,北京,已经结束
娱乐,475453,叶枫个人翻唱专辑《I Love You》,已成功,500,1062,7,2,58.00,3,4,1,否,2,0,项目成功结束后7天内,辽宁 沈阳,已经结束
娱乐,5316,【众筹网-声演坊】We Shot The Moon 2014年中国巡演·重庆站,已成功,1000,1000,7,3,50.00,7,6,0,是,0,2,项目成功结束后5天内,重庆,已经结束
娱乐,11597,【众筹网-声演坊】Lotte Kestner 2014年中国巡演·深圳站,已成功,1000,1000,7,4,50.00,6,6,0,是,0,4,项目成功结束后5天内,广东 深圳,已经结束
娱乐,11748,【欧洲万像】《门巴将军》真实改编西藏电影,已成功,2000,2160,7,8,10.00,24,3,0,否,0,1,项目成功结束后30天内,北京,已经结束
娱乐,17056,【众筹网-声演坊】不可撤销2014《她 千鸟》首发巡演 杭州站,已成功,1000,1000,7,3,40.00,6,6,1,否,0,5,项目成功结束后5天内,浙江 杭州,已经结束
娱乐,661245,一起做家鲜花蛋糕店，吃出健康，吃出高品质！@only订制,众筹中,500000,136,7,3,100.00,6,1,3,否,7,NOTFOUND,项目成功结束后30天内,吉林 长春,26天
娱乐,3456,【众筹网-声演坊】Pajaro Sunrise 2014年中国巡演·天津站,已成功,1000,1000,7,5,40.00,6,6,3,是,0,0,项目成功结束后15天内,天津,已经结束
娱乐,3460,【众筹网-声演坊】Pajaro Sunrise 2014年中国巡演·成都站,已成功,1000,1000,7,5,40.00,6,6,1,是,0,1,项目成功结束后15天内,四川 成都,已经结束
娱乐,5314,【众筹网-声演坊】We Shot The Moon 2014年中国巡演·武汉站,已成功,1000,1000,7,3,50.00,7,6,0,是,0,2,项目成功结束后5天内,湖北 武汉,已经结束
娱乐,11592,【众筹网-声演坊】Lotte Kestner 2014年中国巡演·长沙站,已成功,1000,1000,7,4,50.00,6,6,0,是,0,4,项目成功结束后5天内,湖南 长沙,已经结束
娱乐,11729,【众筹网-声演坊】Brazzaville 2014年中国巡演·深圳站,已成功,1000,1128,7,4,60.00,7,3,0,是,0,1,项目成功结束后5天内,广东 深圳,已经结束
娱乐,15289,上海·爱乐汇·西班牙穆尔西亚舞蹈团经典弗拉门戈舞剧《卡门》,已成功,4000,4051,7,4,266.00,3,3,1,是,0,0,项目成功结束后1天内,上海,已经结束
娱乐,15295,上海·爱乐汇·俄罗斯国家芭蕾舞团《胡桃夹子》,已成功,5000,5674,7,4,266.00,3,3,1,否,0,0,项目成功结束后1天内,上海,已经结束
娱乐,17046,【众筹网-声演坊】不可撤销2014《她 千鸟》首发巡演 北京站,已成功,1000,1000,7,3,40.00,6,6,1,否,0,5,项目成功结束后5天内,北京,已经结束
娱乐,17245,【众筹网-声演坊】不可撤销2014《她 千鸟》首发巡演 深圳站,已成功,1000,1000,7,3,40.00,6,6,1,否,0,5,项目成功结束后5天内,广东 深圳,已经结束
娱乐,41980,【声演坊】The Candle Thievies2015中国巡演·天津站,已成功,1000,1012,7,3,60.00,5,3,1,是,0,2,项目成功结束后5天内,天津,已经结束
娱乐,3462,【众筹网-声演坊】Pajaro Sunrise 2014年中国巡演·武汉站,已成功,1000,1000,7,5,40.00,6,6,1,是,0,0,项目成功结束后15天内,湖北 武汉,已经结束
娱乐,11594,【众筹网-声演坊】Lotte Kestner 2014年中国巡演·广州站,已成功,1000,1000,7,4,50.00,6,6,1,是,0,4,项目成功结束后5天内,广东 广州,已经结束
娱乐,11636,【欧洲万像】《活下去》棕榈泉电影节最佳短片,已成功,1000,1150,7,8,10.00,16,3,5,否,0,0,项目成功结束后30天内,北京,已经结束
娱乐,12952,【众筹网-声演坊】Miaou 2014年中国巡演·深圳站,已成功,1000,1020,7,3,60.00,7,3,0,是,0,3,项目成功结束后5天内,广东 深圳,已经结束
娱乐,13028,【众筹网-声演坊】Bang Gang2014年中国巡演·上海站,已成功,1000,1068,7,4,70.00,7,3,0,是,0,3,项目成功结束后5天内,上海,已经结束
娱乐,15251,北京·爱乐汇·西班牙穆尔西亚弗拉门戈舞剧《卡门》清华大学新清华学堂,已成功,3000,3672,7,4,180.00,3,3,1,是,0,0,项目成功结束后1天内,北京,已经结束
娱乐,17051,【众筹网-声演坊】不可撤销2014《她 千鸟》首发巡演 南京站,已成功,1000,1000,7,3,40.00,6,6,1,否,0,5,项目成功结束后5天内,江苏 南京,已经结束
