项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报种类,最低投资额,项目图片数量,项目进展数,喜欢数,项目结束时间,是否制作视频,最低投资支持人数,预计回报发送时间,"发起人是淘宝还是天猫店铺(描述,服务,物流评价)"
动漫,20040231,《银魂》正版周边首发，愿用一生节操换银魂永不完结,项目成功,10000.00,15663.00,105,5,88.00,5,0,848,2015/10/02,是,58,40,"天猫-4.8,4.8,4.8"
动漫,39224,爱就是在一起，麦拉风邮品震撼首发,项目成功,5000.00,5340.00,61,5,25.00,2,0,142,2015/09/26,否,6,7,"淘宝-4.9,4.9,4.9"
动漫,20043017,【小羊肖恩】法国双层儿童便当盒,项目成功,5000.00,71384.00,277,4,99.00,10,0,605,2015/10/17,否,198,30,"天猫-4.9,4.9,4.9"
动漫,20043044,小羊肖恩【大眼萌背包旅行箱 萌宝提米毛绒双肩包】,项目成功,300000.00,321724.00,1037,10,69.00,8,0,2702,2015/10/17,是,808,30,"天猫-4.8,4.8,4.8"
动漫,36845,黑猫警长大电影官方邮品，三十年回忆，又见英雄！,项目成功,5000.00,17866.00,143,0,0.00,2,0,221,2015/08/28,是,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,32258,LOOK！小猪会说话—AR亲子互动魔法书,项目成功,10000.00,23145.00,224,0,0.00,19,0,661,2015/08/29,是,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,39348,阿狸X计划——给你和你爱的人一个童话中的梦想家,项目成功,10000.00,13275.00,78,7,49.00,8,0,271,2015/09/14,否,17,10,"淘宝-,,"
动漫,35525,《画江湖之不良人》正版周边，超人气国漫等您支持！,项目成功,50000.00,54081.00,519,5,29.00,16,3,532,2015/09/15,是,69,7,"淘宝-,,"
动漫,10034535,乐扣乐扣大圣归来纪念版娃娃水杯首发,项目成功,225000.00,521540.00,10123,3,45.00,17,0,7524,2015/08/23,否,1000000,40,"淘宝-,,"
动漫,20042922,正版授权 小羊肖恩黑胶防晒遮阳晴雨伞,项目成功,10000.00,75299.00,975,4,69.00,15,0,1968,2015/10/17,否,686,30,"淘宝-,,"
动漫,10034536,《大圣归来》土地公公主题居家收纳柜,项目成功,25000.00,51480.00,110,1,468.00,12,0,1023,2015/09/02,否,110,40,"淘宝-,,"
动漫,10034866,【大圣归来】膳魔师限量定制保温杯吸管杯,项目成功,60000.00,472892.00,2434,3,159.00,5,0,1326,2015/08/23,否,1689,20,"淘宝-,,"
动漫,10046345,国际品牌　小王子官方授权　大公豹金属钥匙扣挂件,项目成功,10000.00,41182.00,748,7,29.00,8,0,697,2015/11/22,否,36,30,"-,,"
动漫,10034373,晨光携手大圣归来电影官方主题精装本,项目成功,90000.00,949270.00,17756,8,49.00,9,0,6453,2015/08/23,否,30000,30,"淘宝-,,"
动漫,37527,一大波Keeny全新周边单品火热来袭,项目成功,3000.00,3773.00,15,9,48.00,20,0,74,2015/10/15,否,1,10,"淘宝-,,"
动漫,10034380,【大圣归来】官方抱枕首发，这次，我们为大圣撑腰！,项目成功,10000.00,503089.00,3761,8,59.00,7,2,3462,2015/08/23,否,100,30,"淘宝-,,"
动漫,10034648,大圣归来-天堂伞，唤醒沉睡500年的梦想,项目成功,50000.00,2191900.00,21148,14,2.00,18,0,11653,2015/08/23,是,995,30,"淘宝-,,"
动漫,10034651,大圣归来 激光3D数码立体印花 全棉四件套,项目成功,50000.00,304551.00,769,5,359.00,11,0,2467,2015/08/23,否,55,30,"淘宝-,,"
动漫,37127,懒拖拖走天涯 之 大圣与你同行,项目成功,8000.00,8218.00,20,7,30.00,8,0,176,2015/09/14,是,2,10,"-,,"
动漫,10045556,跨界首发 昕科张小盒系列暖桌垫桌上暖垫,项目成功,10000.00,43899.00,632,5,49.00,19,0,1905,2015/11/07,是,100,15,"-,,"
动漫,10034409,《西游记之大圣归来》正版周边毛绒玩偶全网首发,制作中,10000.00,1711163.00,21297,12,59.00,23,0,9434,2015/09/01,是,3021,30,"淘宝-,,"
动漫,10034666,大圣归来 久违的国产动画良心之作，海报也值得珍藏！,项目成功,10000.00,217870.00,1195,10,78.00,8,0,1267,2015/08/22,否,50,10,"淘宝-,,"
动漫,30247,《西游记之大圣归来》正版邮品首发,项目成功,6000.00,123640.00,988,0,0.00,3,0,937,2015/08/04,是,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,28651,“朋友刀刀”典藏版全套倾情来袭,项目成功,10000.00,19790.00,158,12,49.00,9,0,210,2015/07/15,否,40,15,"淘宝-4.8,4.8,4.8"
动漫,27177,熊猫先生的原创潮玩计划,项目成功,10000.00,13415.00,38,9,18.00,38,9,108,2015/07/08,否,6,15,"淘宝-5.0,5.0,5.0"
动漫,25734,驾驭精灵族女王 开启人生晋升之门,项目成功,2000.00,4460.00,362,4,19.00,0,0,44,2015/06/28,是,70,10,"淘宝-4.8,4.8,4.9"
动漫,24983,跟着CHRIS书写梦境 治愈系绘本插画设计,项目成功,2000.00,7552.70,929,9,9.90,0,0,74,2015/06/21,是,80,10,"淘宝-4.8,4.8,4.9"
动漫,24985,《哆啦A梦:伴我同行》3D电影 官方邮品激萌来袭！,项目成功,6000.00,53973.00,348,0,0.00,2,0,335,2015/06/21,否,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,23835,8位设计大咖接力献爱心——延续动画师艺术生命,项目成功,3000.00,5103.00,357,10,30.00,0,2,74,2015/06/16,是,13,10,"淘宝-4.8,4.8,4.9"
动漫,30463,这个夏天【哆啦A梦】陪你过暑假,项目成功,50000.00,63219.00,273,3,148.00,16,0,750,2015/08/02,是,208,30,"淘宝-,,"
动漫,22124,《禅画西游》－中国首部魔幻画风西游记主题珍藏邮册,项目成功,5000.00,16614.00,115,0,0.00,3,0,126,2015/06/18,否,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,22724,HELLOKITTY 官方授权“爱情护照”甜蜜来袭,项目成功,6000.00,7885.00,60,0,0.00,4,0,130,2015/06/08,否,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,10034467,《西游记之大圣归来》正品限量版运动腕表 全球众筹,项目成功,250000.00,263634.00,743,0,0.00,5,0,1918,2015/08/23,是,NOTFOUND,NOTFOUND,"-,,"
动漫,22552,《樱桃小丸子》25周年 官方限量版周边套装,项目成功,5000.00,57849.00,578,5,48.00,7,0,379,2015/06/07,否,100,30,"淘宝-4.9,4.9,4.9"
动漫,34485,《大圣归来》官方手偶，带你的大圣回家！,制作中,100000.00,5902989.00,71080,14,39.00,7,10,22105,2015/09/10,否,999999,30,"淘宝-,,"
动漫,20661,会说话的《哆啦A梦》全球首发，儿童节玩具众筹,项目成功,50000.00,343367.00,5927,7,36.00,14,1,1228,2015/06/16,是,286,30,"淘宝-,,"
动漫,22113,为梦想点灯——与大咖SAINT.D绘制机械美漫,项目成功,5000.00,7776.00,1496,5,29.00,0,0,104,2015/06/06,否,88,10,"淘宝-4.8,4.8,4.9"
动漫,21938,为梦想点灯——为心爱的TA学一样Q漫萌技能,项目成功,5000.00,6398.00,192,6,19.00,0,0,109,2015/06/04,否,166,10,"淘宝-4.8,4.8,4.9"
动漫,20613,让我的家更完美，Eno.骨鸟独家挂画古风的时尚新味,项目成功,10000.00,61895.00,455,0,0.00,3,1,261,2015/06/01,否,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,20937,为梦想点灯——与漫画大咖李志龙绘制中国风武侠,项目成功,5000.00,6639.00,155,4,30.00,5,0,100,2015/05/28,否,119,10,"淘宝-4.8,4.8,4.9"
动漫,20012,为梦想点灯——跟大触尤勇一起《字言字语》,项目成功,5000.00,7647.00,102,4,30.00,5,0,145,2015/05/21,否,77,10,"淘宝-4.8,4.8,4.9"
动漫,20912,三国杀小可乐3.0移动电源时代：无按钮动漫充电宝,项目成功,20000.00,20566.00,87,0,0.00,5,0,96,2015/06/15,否,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,18995,《斗破苍穹》限量版移动电源，魔幻来袭,项目成功,5800.00,18676.00,322,0,0.00,1,1,90,2015/05/16,否,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,18850,为梦想点灯——跟大触LIKE一起学矢量插画,项目成功,5000.00,6618.00,588,6,30.00,7,0,113,2015/05/14,否,54,10,"淘宝-4.8,4.8,4.9"
