项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报种类,最低投资额,项目图片数量,项目进展数,喜欢数,项目结束时间,是否制作视频,最低投资支持人数,预计回报发送时间,"发起人是淘宝还是天猫店铺(描述,服务,物流评价)"
设计,27807,中国先秦哲学系列“紫砂陶艺香炉”,项目成功,50000.00,181708.00,541,5,198.00,18,6,1146,2015/07/26,是,50,7,"淘宝-,,"
设计,29838,相约七夕  12星座手工制镶钻牛皮包袋系列,项目成功,10000.00,247094.00,1811,10,69.00,36,7,4220,2015/08/12,是,353,15,"淘宝-4.8,4.8,4.9"
设计,27471,磁构灯,项目成功,10000.00,20475.00,240,0,0.00,0,3,990,2015/07/25,是,NOTFOUND,NOTFOUND,"淘宝-,,"
设计,29376,12星座竹伞－匠心物语，竹伞复兴,项目成功,50000.00,521694.00,2477,0,0.00,27,3,8856,2015/07/27,是,NOTFOUND,NOTFOUND,"淘宝-,,"
设计,27519,竹光花器,项目成功,10000.00,19851.00,225,0,0.00,0,3,672,2015/07/24,否,NOTFOUND,NOTFOUND,"淘宝-,,"
设计,27880,Spring iMac 防尘保护套,项目成功,10000.00,10090.00,88,7,59.00,32,0,437,2015/07/25,是,52,30,"淘宝-,,"
设计,27104,私人订制——为您订制一把专属茶杯,项目成功,8888.00,20024.00,73,3,268.00,15,0,305,2015/07/16,否,50,15,"淘宝-,,"
设计,23739,适者V3颠覆腰带新革命！拒绝平庸！气质男神的利器！,项目成功,100000.00,251481.00,819,0,0.00,44,2,2451,2015/07/29,是,NOTFOUND,NOTFOUND,"淘宝-,,"
设计,27658,一个可以品香的播放器——禅音,项目成功,30000.00,33230.00,129,6,128.00,3,0,708,2015/07/24,是,20,30,"淘宝-,,"
设计,27687,一双爸爸鞋，言无声的爱。,项目成功,50000.00,88291.00,399,6,199.00,8,0,1047,2015/07/10,否,99,30,"淘宝-,,"
