项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报种类,最低投资额,项目图片数量,项目进展数,喜欢数,项目结束时间,是否制作视频,最低投资支持人数,预计回报发送时间,"发起人是淘宝还是天猫店铺(描述,服务,物流评价)"
其他,20050314,鸿木斋始创海黄药合香 黄花梨天然线香 薰香,项目成功,50000.00,131232.00,460,7,50.00,11,4,591,2016/12/15,否,254,3,"淘宝-4.9,4.9,4.9"
其他,20051697,旅行，去看看自己欧洲庄园的土地,项目成功,100000.00,1432978.00,5053,7,2.00,20,0,6537,2016/12/28,是,3732,60,"天猫-4.9,4.9,4.8"
其他,20050983,三不琉璃小和尚,项目成功,20000.00,21790.00,110,3,88.00,15,0,2345,2017/01/02,否,19,20,"-4.8,4.8,4.8"
其他,20049602,传统生晒小青柑，正宗就是这个味儿！,项目成功,10000.00,66895.20,694,4,45.90,15,0,430,2016/11/11,否,288,5,"淘宝-4.8,4.8,4.8"
其他,20050279,红木高档实用商务办公套装,项目成功,30000.00,57832.00,234,8,108.00,18,0,4616,2016/12/19,否,98,15,"淘宝-4.7,4.7,4.8"
其他,20048439,单身男女海外party旅行,项目成功,100000.00,103372.00,20,4,128.00,6,0,262,2016/11/10,否,0,5,"淘宝-5.0,5.0,5.0"
其他,20048869,大红袍，没有污染的茶山！游玩茶山农家乐！,项目成功,10000.00,10360.00,50,0,0.00,14,0,110,2016/10/24,否,NOTFOUND,NOTFOUND,"淘宝-,,"
其他,20051162,年味◇张家口蔚县剪纸,项目成功,50000.00,50879.00,241,5,49.00,17,0,269,2016/12/18,否,84,10,"淘宝-,,"
其他,20050093,【韩国原产】厨房革命 钻石不粘无油烟锅具/空前力作,项目成功,50000.00,57096.00,59,19,241.00,19,0,285,2016/12/18,是,7,20,"淘宝-,,"
其他,20050219,【海盐热敷】 女性宫寒 腰腿疼痛的克星,项目成功,50000.00,55899.00,460,5,48.00,26,2,1673,2016/12/15,否,12,30,"淘宝-4.8,4.8,4.8"
其他,20043948,珍酒金钻双支装,项目成功,50000.00,64076.00,155,0,0.00,14,0,32,2016/09/17,否,NOTFOUND,NOTFOUND,"淘宝-,,"
其他,20044010,张裕摩塞尔酒庄摩堡干红众筹,项目成功,50000.00,99108.00,116,5,108.00,18,0,138,2016/10/01,否,13,30,"天猫-4.8,4.8,4.8"
其他,20047287,来带走云南瑞丽阳光赠礼的健康农产 和独特风光,项目成功,1000.00,2950.00,50,6,59.00,12,0,100,2016/10/21,否,50,30,"淘宝-4.7,4.7,5.0"
其他,20050182,光合匠心之旅|打开日本自由行的另一种方式,项目成功,28888.00,30272.00,5306,4,999.00,15,0,464,2016/12/02,否,11,7,"淘宝-,,"
