项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报种类,最低投资额,项目图片数量,项目进展数,喜欢数,项目结束时间,是否制作视频,最低投资支持人数,预计回报发送时间,"发起人是淘宝还是天猫店铺(描述,服务,物流评价)"
娱乐,10082098,【忍者神龟】官方授权苹果U盘 专为IOS苹果而生,项目成功,10000.00,106486.00,729,6,89.00,23,0,1722,2016/06/26,是,182,30,"淘宝-,,"
娱乐,10081676,2016花妖游戏动漫音乐嘉年华,项目成功,6111.00,6183.00,17,0,0.00,5,0,229,2016/06/09,是,NOTFOUND,NOTFOUND,"淘宝-,,"
娱乐,20044648,卡西欧EX-FR100数码相机星际迷航纪念礼盒,项目成功,10000.00,10140.00,20,7,29.00,11,0,91,2016/09/04,是,10,10,"-,,"
娱乐,10078532,独立日2无线遥控战舰飞行器  官方授权 阿里影业,项目成功,10000.00,192642.00,983,0,0.00,10,0,2405,2016/06/15,是,NOTFOUND,NOTFOUND,"淘宝-,,"
娱乐,10078923,极限公益成长计划,制作中,5000.00,21078.00,635,6,10.00,5,0,481,2016/05/28,是,490,60,"淘宝-,,"
娱乐,10078215,美国队长3蓝牙音箱 漫威正版周边 阿里影业,项目成功,5000.00,10340.00,20,0,0.00,6,0,470,2016/06/12,否,NOTFOUND,NOTFOUND,"淘宝-,,"
娱乐,10077272,阿里影业蝙蝠侠大战超人 无线体感遥控蝙蝠战车特制版,制作中,5000.00,251592.00,2558,0,0.00,12,0,4204,2016/06/09,是,NOTFOUND,NOTFOUND,"淘宝-,,"
娱乐,10076588,阿里影业 美国队长3正版周边 磁铁冰箱贴 两用抱枕,项目成功,5000.00,9959.00,86,0,0.00,4,0,297,2016/05/17,否,NOTFOUND,NOTFOUND,"淘宝-,,"
娱乐,10076592,美国队长3正版周边 金属钥匙圈 3D胸章 阿里影业,项目成功,5000.00,11528.00,220,0,0.00,4,0,483,2016/05/17,否,NOTFOUND,NOTFOUND,"淘宝-,,"
娱乐,10076638,美国队长3正版周边 红蓝对战自动折伞 阿里影业诚献,项目成功,5000.00,11920.00,92,0,0.00,3,0,594,2016/05/17,否,NOTFOUND,NOTFOUND,"淘宝-,,"
娱乐,10092377,燃聚万千魂力·共享盛世爵迹  电影爵迹衍生品,项目成功,30000.00,52772.00,532,8,63.00,9,0,2600,2016/09/11,否,148,15,"淘宝-,,"
娱乐,10076511,男神驾临！《世界青年说》官方邮品众筹开始！,项目成功,5000.00,15328.00,437,6,8.00,1,0,362,2016/05/31,否,59,10,"淘宝-,,"
娱乐,10082088,正版授权【忍者神龟变色伞】双层防晒【天堂伞】晴雨伞,项目成功,5000.00,26345.00,255,4,99.00,13,0,656,2016/06/26,是,219,60,"淘宝-,,"
娱乐,10082141,正版授权【忍者神龟】gotrip个性铝框拉杆箱,项目成功,30000.00,34950.00,70,1,168.00,18,0,595,2016/07/05,否,7,30,"淘宝-,,"
娱乐,10070592,疯狂动物城 阿里影业携手迪士尼 正版授权周边,项目成功,2000.00,54886.50,1736,0,0.00,12,0,1209,2016/04/19,否,NOTFOUND,NOTFOUND,"淘宝-,,"
娱乐,10070986,蝙蝠侠与超人开撕，两峰对决，正版周边抢先发售,项目成功,5000.00,16071.00,358,8,29.00,5,1,1560,2016/05/06,否,196,30,"淘宝-,,"
娱乐,20044589,星际迷航3官方授权正品礼品 正版阳澄湖大闸蟹礼盒,项目成功,80000.00,113578.00,306,5,218.00,8,0,125,2016/09/24,是,137,10,"-,,"
娱乐,10069429,遇见男神X珂兰专场众筹,项目成功,5000.00,12596.80,180,3,5.20,4,1,834,2016/04/11,否,161,5,"淘宝-,,"
娱乐,10066662,莱昂纳多中国行,项目成功,30180.00,32567.20,1568,0,0.00,12,2,2502,2016/03/22,否,NOTFOUND,NOTFOUND,"淘宝-,,"
娱乐,10062155,电影《三生三世十里桃花》九天神仙品鸡腿贺新年,项目成功,13334.00,123631.20,17255,3,3.30,3,2,9533,2016/02/22,是,3334,30,"淘宝-,,"
娱乐,10063773,《圣斗士星矢》正版周边众筹热血开启,制作中,20000.00,43158.00,147,11,239.00,14,0,1753,2016/03/26,是,72,60,"淘宝-,,"
娱乐,10072543,《奔跑吧兄弟》官方主题体验游,项目成功,100000.00,100328.00,148,5,99.00,8,0,1461,2016/05/13,是,82,15,"淘宝-5.0,5.0,4.6"
娱乐,10080387,《我们相爱吧》大爱无疆，兼济天下爱心包裹项目,制作中,10000.00,10969.00,179,9,28.00,10,0,655,2016/06/22,是,116,10,"-4.9,4.9,4.9"
娱乐,10084640,【幸运石 X 惊天魔盗团2】正版周边众筹,项目成功,10000.00,117822.61,966,11,88.00,11,1,1969,2016/07/23,是,122,40,"-4.7,4.7,4.7"
娱乐,10061638,臧洪娜——国民好闺蜜联名限量“娜那有礼”新年礼盒,项目成功,5000.00,5064.00,524,5,2.00,3,0,832,2016/02/22,否,508,7,"淘宝-,,"
娱乐,10066915,“重现张国荣”为你钟情十三周年纪念活动,项目成功,150000.00,159552.00,3439,12,5.00,10,2,6082,2016/04/05,否,2180,6,"淘宝-,,"
娱乐,10070198,《火锅英雄》赴汤盗火！邀您尽情“开涮”！,项目成功,5000.00,13840.00,1313,4,2.00,2,0,2345,2016/04/30,否,1083,10,"天猫-4.7,4.7,4.8"
娱乐,10062285,卧虎藏龙X ARTPLUS 真龙之爱18K金玫瑰花,项目成功,1000.00,34528.00,86,5,69.00,5,0,898,2016/02/09,是,54,1,"淘宝-,,"
娱乐,10060650,天堂伞-年兽大作战系列儿童伞，风雨再大，为你护航！,项目成功,5000.00,7320.00,140,8,49.00,12,0,353,2016/03/06,否,32,60,"淘宝-4.8,4.8,4.8"
娱乐,10062327,卧虎藏龙：青冥宝剑X ARTPLUS “猴王无忌”,项目成功,1000.00,3594.00,6,2,599.00,9,0,3561,2016/03/15,是,4,10,"淘宝-,,"
娱乐,10056975,小门神——新春小温暖 等你带回家,项目成功,10000.00,13238.00,151,6,48.00,4,0,658,2016/01/26,否,23,40,"淘宝-4.9,4.9,4.9"
娱乐,10060860,【佐丹奴】x【年兽大作战】限量系列卫衣男女裤子帽子,项目成功,10000.00,11697.00,83,14,79.00,10,0,824,2016/03/01,否,12,15,"天猫-4.8,4.8,4.7"
娱乐,10058064,自由奔跑 自由呼吸——奔跑吧兄弟防雾霾口罩,项目成功,50000.00,71550.00,424,9,95.00,5,0,5887,2016/01/26,是,189,30,"淘宝-5.0,5.0,4.6"
娱乐,10056630,周大福x《小门神》跨界合作臻品-我的守护神黄金饰品,项目成功,10000.00,103780.00,111,6,688.00,5,0,2966,2016/01/28,否,2,40,"天猫-4.8,4.8,4.8"
娱乐,10057355,小门神独家授权 定制鸿运年货礼盒,项目成功,25000.00,41188.00,739,4,10.00,3,0,1405,2016/01/11,否,474,10,"天猫-4.8,4.8,4.8"
娱乐,10056981,米妮哈鲁×【小门神】童装独家授权 定制动画时尚,项目成功,7900.00,10956.00,144,3,29.00,8,0,330,2016/01/25,否,10,7,"天猫-4.9,4.9,4.8"
娱乐,10056878,正版授权《小门神》精品手办模型,项目成功,30000.00,56436.00,432,1,28.00,29,0,709,2016/02/24,是,213,98,"淘宝-4.7,4.7,4.8"
娱乐,10056896,幸运石动漫 x《小门神》正版周边人间开筹,项目成功,10000.00,14488.00,90,6,49.00,9,0,255,2016/01/24,是,14,30,"天猫-4.8,4.8,4.8"
娱乐,10056655,众筹已结束，点击右侧旺旺图标联系客服购买！,项目成功,5000.00,71214.00,1102,9,49.00,24,6,1474,2016/01/15,否,28,10,"淘宝-,,"
娱乐,10056646,《小门神》贺岁定制新年礼 珍视明蒸汽眼罩,项目成功,5000.00,14240.00,120,4,139.00,15,0,422,2016/01/21,否,50,30,"淘宝-4.8,4.8,4.8"
娱乐,10079618,麦兜电影定制版布丁智能机器人 你最贴心的陪伴,项目成功,100000.00,376623.00,1555,3,2.00,29,3,18342,2016/06/28,是,1187,30,"天猫-4.9,4.9,4.8"
娱乐,10057449,PH7 X 小门神——点燃中国传统习俗,项目成功,10000.00,21866.00,144,8,139.00,2,0,446,2016/01/25,否,45,65,"天猫-4.8,4.8,4.8"
娱乐,10055737,《饥饿游戏》纪念饰品，有一种信仰是用生命捍卫自由！,项目成功,5000.00,42586.00,254,0,0.00,13,10,2073,2016/01/11,是,NOTFOUND,NOTFOUND,"淘宝-,,"
娱乐,10056909,《恶棍天使》正版授权-可以做行车记录仪的运动相机,项目成功,100000.00,858906.00,2180,16,29.00,13,3,4734,2016/02/06,否,50,45,"淘宝-4.5,4.5,4.6"
娱乐,10055753,《遇见男神》24位明星独家限量潮品，瞬间高潮不是梦,制作中,10000.00,10191.00,157,9,10.00,7,0,652,2016/01/26,是,138,15,"淘宝-,,"
娱乐,10056904,【星钻积木】限量版“神荼” 小门神主题积木,项目成功,2000.00,2691.00,90,1,29.90,4,0,143,2016/01/07,否,91,3,"天猫-4.9,4.9,4.8"
