项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报种类,最低投资额,项目图片数量,项目进展数,喜欢数,项目结束时间,是否制作视频,最低投资支持人数,预计回报发送时间,"发起人是淘宝还是天猫店铺(描述,服务,物流评价)"
科技,20058203,InkCase带屏幕的手机壳，一秒变双屏,筹款中,100000.00,1028048.00,2532,6,369.00,20,0,4096,2017/04/05,是,100,15,"-4.6,,"
科技,20057917,科沃斯2017年新品DD35,筹款中,100000.00,200492.00,108,8,1699.00,25,0,903,2017/03/24,否,20,30,"淘宝-,,"
科技,20058493,三星510L风冷无霜双循环多门2017新品冰箱,筹款中,100000.00,365429.00,71,2,4999.00,15,0,401,2017/03/20,否,50,30,"淘宝-,,"
科技,20058541,红外深度按摩仪--深度舒缓颈椎及各种疲劳,筹款中,100000.00,1253326.00,4444,5,239.00,11,0,3442,2017/04/10,是,200,7,"-,,"
科技,20058515,咕咕机G2粉色版迷你萌宠热敏打印机,筹款中,100000.00,264628.00,223,5,239.00,18,4,991,2017/04/08,是,100,30,"淘宝-,,"
科技,20049671,还在用手机给宝宝胎教？远离辐射，我用俏龙儿胎教仪！,筹款中,100000.00,341680.00,2135,5,9.90,5,0,1684,2017/03/27,否,1000,35,"淘宝-,,"
科技,20058194,iPEARL沉浸式3D娱乐音效耳机,筹款中,100000.00,338532.00,1859,2,168.00,15,2,891,2017/03/26,否,985,30,"淘宝-,,"
科技,20058315,德国西门子9KG变频洗衣机日不落全球首发,制作中,100000.00,112557.00,43,8,799.00,18,0,1027,2017/03/06,否,10,30,"淘宝-,,"
科技,20058126,徕声耳放——提升音质，全新的聆听体验,筹款中,100000.00,449021.00,1576,9,50.00,12,0,3060,2017/03/24,是,217,10,"淘宝-,,"
科技,20055384,Elfinbook可重复书写笔记本，App备份管理,筹款中,100000.00,3242872.90,11649,9,19.90,25,0,5834,2017/03/31,是,201,10,"淘宝-,,"
科技,20058200,那光 智能触屏调光护眼灯,筹款中,100000.00,97415.00,613,4,158.00,13,0,322,2017/03/28,否,604,30,"淘宝-,,"
科技,20058247,小天鹅Sper Mini 超声波洗衣机,筹款中,100000.00,125070.00,330,5,299.00,20,0,3944,2017/03/26,否,200,30,"-,,"
科技,20058137,DRINKSMART 富氢水素杯,筹款中,100000.00,396478.00,1609,6,39.00,23,0,3224,2017/03/22,否,151,30,"淘宝-,,"
科技,20057872,iPEARL模块化智能壳,筹款中,100000.00,326515.00,2765,8,59.00,26,0,638,2017/03/20,否,45,30,"淘宝-,,"
科技,20058206,迷鹿艺术——《若冰》鉴赏级蓝牙音箱,筹款中,100000.00,2849.00,41,4,39.00,11,0,4229,2017/03/22,是,36,17,"淘宝-,,"
科技,20058197,荣耀手表S1全面升级--睡眠新体验,制作中,100000.00,154542.00,258,4,599.00,9,0,871,2017/02/25,是,190,3,"淘宝-,,"
科技,20058021,DELIS德力生智能红酒醇化器,筹款中,100000.00,1539181.00,2619,3,499.00,9,0,3433,2017/03/20,是,95,10,"淘宝-,,"
科技,20057640,e路航小度智能后视镜 智能语音控制,筹款中,100000.00,338999.00,860,8,359.00,22,6,2379,2017/03/18,是,300,15,"淘宝-,,"
科技,20054771,贝尔思特机电分离智能电子指纹内门锁！,筹款中,100000.00,1093961.00,706,6,650.00,17,0,6984,2017/03/18,否,347,30,"淘宝-,,"
科技,20057518,青空，会呼吸的空气净化器 不破坏装修的窗式新风系统,筹款中,200000.00,223392.00,159,4,1388.00,26,0,3179,2017/03/17,是,150,10,"淘宝-,,"
科技,20054804,燃脂修身 增肌塑形 智能健身腰带,筹款中,100000.00,4058900.00,9901,11,239.00,40,10,13468,2017/03/21,是,500,30,"-,,"
科技,20055260,POLAR博能 智能穿戴GPS跑步心率表,筹款中,100000.00,110500.00,81,6,999.00,18,3,389,2017/03/15,是,20,3,"淘宝-,,"
科技,20055630,55度恒温养生杯，高温散热 低温聚能，持久恒温,筹款中,100000.00,337714.00,4004,7,59.00,16,2,6322,2017/03/22,否,224,30,"淘宝-,,"
科技,20057664,达尔优EK835 8000万次按键寿命,筹款中,350000.00,152191.00,509,3,299.00,13,1,1180,2017/03/23,是,172,30,"-,,"
科技,20058002,运动黑科技，LUMEN自供电运动臂带&腰包,筹款中,100000.00,110890.00,2014,7,52.00,13,0,1902,2017/03/23,否,500,15,"-,,"
科技,20057929,Hoot 3D运动相机,筹款中,100000.00,555294.00,381,5,1299.00,8,0,303,2017/03/14,是,197,30,"淘宝-,,"
科技,20057881,随时享用新鲜的碧然德过滤水,制作中,100000.00,125593.00,42,6,1999.00,6,0,307,2017/03/01,是,18,30,"淘宝-,,"
科技,20057564,Aerpl蓝牙智联音乐眼部按摩仪,筹款中,100000.00,371246.00,1448,5,219.00,22,0,1785,2017/03/12,否,250,30,"淘宝-,,"
科技,20057823,【行车安全神器】CSTT空气净化省力破车窗-车安宝,筹款中,100000.00,2285138.00,4415,5,88.00,18,0,4527,2017/03/16,是,2864,30,"淘宝-,,"
科技,20051819,玻璃狗3.0 玻璃门云智能指纹锁 免安装,筹款中,100000.00,1902474.00,3028,6,499.00,26,3,4293,2017/03/16,是,2000,30,"淘宝-,,"
科技,20058034,美的智能迷你便携式干衣架众筹,筹款中,100000.00,61306.00,362,12,99.00,16,0,1231,2017/03/16,否,200,30,"淘宝-,,"
科技,20056859,不玩游戏玩3D，爱用迷你3D打印机,筹款中,100000.00,272635.00,482,5,19.00,5,2,4327,2017/03/25,是,89,30,"淘宝-,,"
