项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报种类,最低投资额,项目图片数量,项目进展数,喜欢数,项目结束时间,是否制作视频,最低投资支持人数,预计回报发送时间,"发起人是淘宝还是天猫店铺(描述,服务,物流评价)"
公益,28594,孤寡残疾老人助养,项目成功,10000.00,53400.00,1931,4,10.00,11,1,474,2015/09/27,否,1530,5,"淘宝-,,"
公益,34404,蜜獾笔记本---关爱动物尊重生命，记录优雅生活,项目成功,10000.00,37066.00,659,9,8.00,29,2,339,2015/09/17,否,333,10,"淘宝-,,"
公益,36562,新疆HIV遗孤最低生活保障计划,项目成功,10000.00,50170.00,1540,4,10.00,5,0,294,2015/09/26,否,1287,15,"淘宝-,,"
公益,37155,汶川震区孤儿健康成长  需要你我继续守护,项目成功,12500.00,14740.00,526,4,10.00,11,2,130,2015/09/09,是,419,30,"淘宝-,,"
公益,34923,向草原垃圾说“不“,项目成功,10400.00,10712.00,628,0,0.00,10,1,193,2015/09/05,是,NOTFOUND,NOTFOUND,"淘宝-,,"
公益,34776,铜娃娃罕见，但我们可以让爱不罕见,项目成功,10000.00,11880.00,637,3,10.00,5,2,135,2015/09/05,否,555,20,"淘宝-,,"
公益,34425,为新疆贫困孩子送儿童成长包,项目成功,11000.00,32470.00,906,0,0.00,6,1,343,2015/10/04,否,NOTFOUND,NOTFOUND,"淘宝-,,"
公益,37118,星缘守护，守护星愿公益计划,项目成功,10000.00,10656.00,676,9,2.00,1,3,139,2015/09/08,否,22,20,"淘宝-,,"
公益,35544,爱，减一点糖，加一点甜,项目成功,10000.00,10210.00,188,1,10.00,5,1,123,2015/08/31,否,NOTFOUND,20,"淘宝-,,"
公益,29262,关注农村孤寡、失能、贫困留守老人,项目成功,30000.00,34218.00,1127,0,0.00,9,0,440,2015/08/30,否,NOTFOUND,NOTFOUND,"淘宝-,,"
公益,28223,爱心助飞梦想　高考圆梦行动,项目成功,10000.00,12140.00,397,3,20.00,15,0,133,2015/08/24,否,307,7,"淘宝-,,"
公益,28553,千瓶纯天然蜂蜜义卖众筹，为让脑瘫儿童重新站起来！,项目成功,10000.00,21978.00,527,5,10.00,13,0,329,2015/08/21,否,198,10,"淘宝-,,"
公益,32339,关爱抗战老兵 铭记英雄历史功勋,项目成功,10000.00,554770.00,20370,5,10.00,20,1,6950,2015/08/24,否,12706,5,"淘宝-,,"
公益,31766,给你的手机穿上美丽的公益外壳,项目成功,6000.00,7250.00,89,4,5.00,3,0,306,2015/08/19,否,36,20,"淘宝-,,"
公益,27105,让支教走进麻风村---让孩子看到大世界,项目成功,10000.00,146800.00,4993,0,0.00,4,0,1675,2015/08/16,否,NOTFOUND,NOTFOUND,"淘宝-,,"
公益,27179,我为家乡清垃圾,项目成功,10000.00,10020.00,409,5,10.00,6,8,596,2015/08/26,否,362,5,"淘宝-,,"
公益,29105,送药下乡，送药更送健康,项目成功,15000.00,15120.00,594,0,0.00,10,0,415,2015/08/14,否,NOTFOUND,NOTFOUND,"淘宝-,,"
公益,10046894,寻找“免费午餐加略小学公益合伙人”,项目成功,8800.00,65804.00,5444,11,4.00,6,0,1001,2015/10/30,是,5022,20,"-,,"
公益,10050006,“免费午餐”进高中,项目成功,6000.00,132360.00,7172,5,6.00,8,0,1769,2015/12/16,否,5478,20,"-,,"
公益,10041040,跟《落跑吧爱情》一起，为贵州山区儿童送快乐成长礼包,项目成功,2000.00,10446.00,1131,6,2.00,12,0,275,2015/10/19,否,1037,15,"淘宝-,,"
公益,29885,屏山【太阳花图书角】，用图书开启山区儿童的世界！,项目成功,10800.00,13260.00,453,3,15.00,11,4,116,2015/09/30,否,334,30,"淘宝-,,"
公益,30587,来自大山之圆梦舞台,项目成功,10000.00,19770.00,663,3,10.00,1,0,143,2015/08/01,是,517,30,"淘宝-,,"
公益,31729,为毕节孩子吃饱穿暖挑战百公里,项目成功,10000.00,66796.00,1395,6,10.00,3,2,970,2015/08/12,是,1027,30,"淘宝-,,"
公益,26074,《微笑江豚》公益宣传片,制作中,10000.00,37900.00,1602,4,10.00,7,0,1036,2015/08/28,是,1078,20,"淘宝-,,"
公益,27752,同在一片蓝天下，圆梦塔沙坡小学,项目成功,21650.00,137270.00,5147,0,0.00,13,1,1291,2015/07/27,否,NOTFOUND,NOTFOUND,"淘宝-,,"
