项目类型,项目编号,项目名称,项目回报总类,最低投资额,项目图片数量,发起人支持的项目数,发起人历史发起的项目
娱乐,9983,美味味可滋，为晗庆生,4,1,3,0,1
娱乐,9194,许巍此时此刻北京收官站记录,5,1,7,0,1
娱乐,10098,八千米攀登寻找梦想合伙人,7,1,7,20,1
娱乐,10555,小狐狸叮咚带你奇幻冒险,6,1,2,0,1
娱乐,8771,风情煮妇，邀你一起不平凡,7,1,12,1,1
娱乐,9840,带上你的貂蝉一起“闯天下”,5,1,2,2,3
娱乐,9802,5月1日，把爱情还给爱情,9,49,3,0,1
娱乐,8815,梦想起飞—开启你的绘画世界,7,1,5,0,2
娱乐,8382,一个远征军老兵的故事,7,1,6,40,2
娱乐,5239,吴晓波跨界电影 邀你来出品,10,1,9,0,1
娱乐,6036,西游汉字 幼儿识字大革新,5,1,17,0,1
娱乐,5430,李玉刚与你邂逅最美昭君,8,1,6,0,4
娱乐,5427,李玉刚与你邂逅最美昭君,8,1,6,0,4
娱乐,5922,万物生独立电影《魇魂录》,6,1,3,0,1
娱乐,5437,李玉刚与你邂逅最美昭君,8,1,6,0,4
娱乐,5058,武汉大学原创专辑《珞樱3》,7,1,7,18,2
