项目类型,项目编号,项目名称,项目回报总类,最低投资额,项目图片数量,发起人支持的项目数,发起人历史发起的项目
设计,73785,献给母亲的老砂锅，回忆童年,5,268,10,0,1
设计,73853,来自尼泊尔唐卡的新春祝福Ⅱ,37,800,22,3,22
设计,73780,魔锥横须贺刺绣双面夹克,6,399,27,0,1
设计,73574,一抹即净，天天穿“新”鞋,6,299,24,2,2
设计,73697,探路者商旅背包众筹,7,469,6,0,1
设计,73543,风谜BMW族城市通勤背包,7,199,18,1,2
设计,73617,自由呼吸舒适无痕内衣,9,69,21,2,4
设计,73597,告别心肺亚健康的“心”宝,6,639,20,0,1
设计,73591,金玉满堂·天青窑变赏瓷茶器,8,129,40,0,4
设计,73842,桐乡手作，雪君蚕丝被,8,498,7,0,1
设计,73663,真玉汇-太岁玉符,5,1,10,0,1
设计,73577,北欧原创设计沙发，高B格,8,1249,26,0,1
设计,73535,蜗跑BOOST缓震型跑鞋,6,299,21,5,1
设计,72996,匠人精工细作养生铁壶,11,149,17,0,1
设计,73417,《鬼吹灯》腾讯视频VIP,24,1,3,0,1
设计,73164,黄金茶具一龙点睛水晶杯,8,188,14,1,2
设计,73291,锗能量锁脂内衣,5,198,15,3,1
设计,73388,蝶恋如初－珐琅彩番花对蝶杯,3,2999,5,0,1
设计,73137,gambei佳安贝儿童座椅,5,799,9,0,1
设计,73243,荃璟超浓缩环保洗衣片,6,58,25,0,1
设计,73226,九代视力健康笔,5,78,13,0,1
设计,73071,独美：和A4纸一样轻的眼镜,19,178,25,0,2
设计,73124,匠人手工，为爱撑起一片天,6,199,7,0,3
设计,73115,云饮NADO儿童水杯,9,399,27,0,1
设计,73451,费奇赫顿 全铝镁合金旅行箱,7,998,15,2,2
设计,73436,埃沃美利奴羊毛衫,10,239,11,5,5
设计,73012,一桌三用-多变功能桌,10,1111,40,2,2
设计,73004,爱康康本草消毒液让呼吸更纯,5,74,36,1,1
设计,73476,大地时节之乙未慢计时表,4,1699,31,8,1
设计,72843,历历在木让眷眷往昔更有温度,6,89,9,19,1
