项目类型,项目编号,项目名称,项目回报总类,最低投资额,项目图片数量,发起人支持的项目数,发起人历史发起的项目
出版,34416,你好，宝贝 成长纪念邮票册,5,39,4,0,1
出版,43755,与登山奥斯卡男主共进早餐,6,70,3,1,1
出版,34601,水写布，让传统书法更时尚,9,68,40,0,1
出版,42550,青音魔法学院成为更好的自己,6,29,8,2,1
出版,40721,学书法，也可以很时尚！,6,20,4,0,1
出版,42120,只为您私人定制的书法作品,5,68,6,2,1
出版,40777,哇，中国文化还能这么性感？,7,1,7,0,1
出版,41390,0-7岁萌宝定制阅读包,7,1,6,0,1
出版,42289,东源木活字，中国“字”造,15,28,24,1,1
出版,43161,《心灵的远方》摄影集众筹,8,19,4,1,1
出版,42936,永远的凡高艺术主题笔记本,8,68,20,0,1
出版,42053,探索科普，轻松变学霸！,7,68,5,0,2
出版,33483,飞客攻略，商旅常客必备手册,6,29,3,0,1
出版,40490,尼泊尔唐卡众筹祈福专场Ⅱ,67,900,54,3,22
出版,30637,3D环游地球AR天文科普卡,5,39,6,0,1
出版,31695,《千年国医》，注定创造历史,6,199,5,27,1
出版,34251,互联网+时代的商业逻辑,6,40,7,0,1
出版,33482,企业冲出重围，王冲有预谋,7,38,6,0,1
出版,32804,传承古典文化 随缘春联,5,90,10,1,1
出版,33946,抓住智能家居新革命风口,12,40,11,4,1
出版,29216,让湿地不再”失地 “.,3,50,14,0,2
出版,32764,为西部孩子们筹集图书,7,2,5,17,1
出版,29341,《惜缘》手工台历 匠心定制,6,78,12,0,1
出版,30504,一本涂色书，涂遍西方美术史,8,68,19,0,1
出版,29687,魔法涂涂 会说会动的魔法书,7,98,4,0,2
出版,29823," 网络小说《紫阳》有声书",7,99,12,1,2
出版,29933,白石嫡亲再现传世藏品画作,8,298,10,0,1
出版,29215,紫禁城的礼物：故宫如意手记,7,1,6,4,1
出版,30440,艺术名家安青怀大师原作众筹,7,298,4,28,1
出版,27804,龙笃笃2016月读成长计划,5,68,3,0,1
出版,26433,《小王子》故乡法国之旅,5,899,11,0,4
出版,25758,享受禅 • 佛法和生活,5,1,14,0,1
出版,28697,名家手写春联，真情迎春送福,13,16,7,0,1
出版,28564,2个月通关6年英语,7,2,8,0,1
出版,25907,一次与小王子怦然心动的相遇,8,20,5,0,1
出版,25791,情商剧助宝宝打败坏情绪,5,28,3,1,1
出版,29008,空谷书法作品收藏,5,800,9,0,1
出版,23679,一年级孩子的礼物专属定制书,7,59,10,0,1
出版,21140,SleeQ原创本与袋,5,1,5,0,1
出版,28471,拯救那些年没学明白的地理课,5,30,4,1,1
出版,25388,玩坏《秘密花园》后玩什么？,4,25,7,0,1
出版,27560,历代书画名迹开光复制品众筹,9,220,14,0,3
出版,28784,服务机器人，未来世界新伙伴,8,58,5,3,1
出版,27634,京东金融2周年个性化邮票,9,50,6,3,1
出版,27511,手捧国学经典，聆听古文原文,7,20,5,3,1
出版,28742,"奇幻拼拼乐,神奇的AR拼图",6,19,5,8,1
出版,27499,鼎图笔记-艺术笔记以美为伴,8,39,6,25,3
出版,22714,大阅兵中国强，世界在倾听！,4,1,0,0,3
出版,25203,送给宝贝的视频涂鸦填色本,5,5,5,0,1
出版,23477,比巴智能早教音响【绘本版】,5,1,11,0,2
出版,22717,重温那些红色的记忆！,6,1,4,0,3
出版,22054,来一场书香与茶香的约会！,7,1,28,5,1
出版,24310,我们到底跟直男聊什么,6,1,6,0,1
出版,22699,抗日烽火遍齐鲁邮品首发,6,1,0,0,3
出版,24643,五角星书法组创意作品大收藏,7,119,9,0,1
出版,21948,2015幻想公园科幻嘉年华,7,1,11,1,1
出版,21075,梵高地图 虚拟现实艺术大展,9,1,4,0,1
出版,21005,中国抗战老兵摄影集公益众筹,8,38,5,0,2
出版,24579,甲骨文—汉字的美丽启蒙,7,1,5,0,1
出版,22106,匡衡书画院之刘啸泉书法,5,299,4,8,1
出版,24196,突破微营销 营销人必读,6,1,13,33,1
出版,19756,用一本书嗨一把中韩娱乐圈,8,1,4,0,1
出版,20802,听拉力赛车手吐槽东南亚 ,5,1,4,0,1
出版,20688,魔卡总动员3D科技早教卡,4,1,32,0,1
出版,17856,看蛮拼的书画侠如何成为大圣,7,1,3,0,1
出版,19330,OY手绘—不要小看圆珠笔！,8,1,7,0,1
出版,19376,看水浒全传评书，忆童年味道,6,1,3,0,1
出版,19788,为中东孩子送一本侣行糖果书,8,1,6,0,1
出版,17727,《黄河万里图》,10,1,17,0,1
出版,17090,创业大革命遇见商道新思维,9,1,5,0,1
出版,17636,一本书说尽投资美股那些事,4,1,7,0,1
出版,20482,王德顺80岁活雕塑再现,9,1,6,31,2
出版,20876,从纸面到布面，为你挑好内衣,7,1,7,0,1
出版,17719,带你走进极限越野的诗和远方,8,1,5,0,1
出版,18012,吾皇周边，为流浪动物众筹,7,1,3,0,1
出版,17298,孩子的世界，你真的懂吗?,8,1,5,3,1
出版,18008,「原创十年，绘本原画展」 ,6,1,2,1,1
出版,13566,罗小黑的第一本漫画,6,1,3,0,1
出版,12229,大侦探福尔摩斯英国探索之旅,5,1,3,0,2
出版,12777,和大牌明星一起出书,7,1,7,0,1
出版,9642,竟然有人在做这样的事,4,1,11,0,1
出版,11641,来一场寻找梦想的旅行,5,1,5,0,1
出版,13935,和蒙曼相约木偶剧院亲子之旅,10,1,6,0,3
出版,9593,听稻盛和夫聊经营,7,1,3,1,1
出版,13803,《妈妈宝宝》和你一起养孩子,6,1,4,0,1
出版,16486,互联网快营销茶馆，约么？,6,1,6,0,1
出版,10541,跟社群领袖来一场尖峰对谈,8,1,7,0,1
出版,11218,帮张嘉佳实现小龙虾梦,8,1,5,1,1
出版,8708,与全球杰出商业女性直接对话,9,1,3,0,1
出版,13325,心理学，你真的懂吗？！,6,1,4,3,2
出版,14529,投资大佬带你轻松跑赢股市,5,1,3,0,1
出版,10771,一起搞毛线：众筹广告书,6,1,4,0,1
出版,11714,育儿男神崔玉涛来你家做客,8,1,17,1,1
出版,2866,藏经典小人书品宣纸本西游记,8,1,10,25,3
出版,3683,股权众筹千人大会等你来参加,8,2,12,0,1
出版,7220,可交互体验的糖果书,5,1,4,0,1
出版,8640,邀你参与最好的“创业时代”,7,1,3,1,1
出版,7875,科学而诗意地与你谈谈性与爱,6,1,24,0,1
出版,2364,金毛狗帮她爹求100个表白,7,1,18,0,1
出版,2579,听，你的脚步走在你的心上！,7,1,2,0,1
出版,3560,陈九霖邀您分享投资与人生,8,1,8,0,1
出版,8419,101幸福婚纱，有爱才任性,5,1,7,0,1
出版,3068,体验古书之美 崇贤馆巾箱本,6,1,7,0,3
出版,3654,网易每日轻松一刻众筹答谢,9,1,8,0,1
出版,3796,给玉兔过春节,6,1,7,0,1
出版,7514,左耳电影重磅内容首次曝光,8,1,10,0,1
出版,3805,来一场不念过往的旅程,6,1,5,38,1
出版,8008,和力叔一起写德足《这条路》,5,50,3,4,1
出版,7303,像酣客一样NB玩社群,4,1,5,21,2
