项目类型,项目编号,话题数,关注数
公益,75192,11,(112)
公益,73703,139,(974)
公益,73087,13,(152)
公益,74755,8,(36)
公益,73120,52,(364)
公益,73293,4,(102)
公益,73300,3,(34)
公益,73029,8,(68)
公益,73155,6,(39)
公益,74364,2,(14)
