项目类型,项目编号,话题数,关注数
科技,72049,87,(4千)
科技,72048,381,(8千)
科技,72045,55,(431)
科技,72032,90,(868)
科技,72008,37,(341)
科技,72003,22,(164)
科技,71979,188,(1千)
科技,71952,18,(102)
科技,71928,50,(1千)
科技,71913,19,(129)
科技,71896,17,(2千)
科技,71890,38,(188)
科技,71873,91,(6千)
科技,71862,17,(278)
科技,71851,13,(229)
科技,71846,30,(1千)
科技,71841,122,(328)
科技,71761,90,(2千)
科技,71754,219,(6千)
科技,71745,132,(2千)
科技,71737,152,(1千)
科技,71735,53,(223)
科技,71733,135,(1千)
科技,71715,296,(2千)
科技,71714,242,(2千)
科技,71712,66,(2千)
科技,71702,48,(1千)
科技,71697,19,(204)
科技,71696,25,(118)
科技,71692,24,(232)
科技,71668,35,(1千)
科技,71648,502,(3千)
科技,71647,233,(904)
科技,71642,73,(402)
科技,71639,332,(1千)
科技,71596,200,(3千)
科技,71548,77,(1千)
科技,71504,33,(1千)
科技,71503,76,(2千)
科技,71479,8,(88)
科技,71462,111,(658)
科技,71454,62,(560)
科技,71446,48,(2千)
科技,71432,77,(1万)
科技,71414,30,(2千)
科技,71370,36,(675)
科技,71365,78,(226)
科技,71363,24,(260)
科技,71359,33,(1千)
科技,71344,76,(385)
科技,71341,46,(1千)
科技,71244,56,(5千)
科技,71243,74,(1千)
科技,71234,204,(1千)
科技,71220,75,(2千)
科技,71164,28,(247)
科技,71141,70,(5千)
科技,71136,46,(591)
科技,71133,31,(111)
科技,71131,19,(281)
科技,71098,32,(493)
科技,71092,62,(6千)
科技,71064,12,(170)
科技,71040,19,(154)
科技,71034,33,(229)
科技,71020,55,(682)
科技,71011,175,(1千)
科技,71001,82,(1千)
科技,70991,609,(7千)
科技,70983,389,(1万)
科技,70954,15,(5千)
科技,70945,26,(2千)
科技,70943,47,(254)
科技,70926,161,(1千)
科技,70917,88,(2千)
科技,70911,47,(243)
科技,70907,193,(654)
科技,70885,12,(2千)
科技,70841,9,(1千)
科技,70795,127,(1万)
